cancer_label,volume,sex,per1,per2,country_label,cases,py,asr,rank,country_code,cancer_code
Liver,1,1,1960,1962,Canada,61,5617500,1.04,22,124,16
Liver,1,2,1960,1962,Canada,34,5292900,0.57,26,124,16
Liver,1,1,1962,1964,"Colombia, Cali",13,665831,4.04,15,217000199,16
Liver,1,2,1962,1964,"Colombia, Cali",19,732048,5.23,10,217000199,16
Liver,1,1,1953,1957,Denmark,378,10996550,2.46,14,520800099,16
Liver,1,2,1953,1957,Denmark,439,11172700,2.41,16,520800099,16
Liver,1,1,1959,1961,Finland,79,6417600,1.39,19,524600099,16
Liver,1,2,1959,1961,Finland,62,6921000,0.76,25,524600099,16
Liver,1,1,1960,1963,Israel,79,4551960,2.09,19,437600099,16
Liver,1,2,1960,1963,Israel,40,4423200,0.94,24,437600099,16
Liver,1,1,1959,1960,"Japan, Miyagi Prefecture",78,1697140,6.01,6,439200299,16
Liver,1,2,1959,1960,"Japan, Miyagi Prefecture",72,1789200,4.65,8,439200299,16
Liver,1,1,1960,1962,New Zealand,59,3666630,1.51,20,655400099,16
Liver,1,2,1960,1962,New Zealand,24,3626100,0.55,26,655400099,16
Liver,1,1,1959,1961,Norway,71,5368200,1.01,18,557800099,16
Liver,1,2,1959,1961,Norway,37,5405430,0.48,25,557800099,16
Liver,1,1,1956,1960,Slovenia,69,3714150,1.9,15,570500099,16
Liver,1,2,1956,1960,Slovenia,57,4096050,1.11,20,570500099,16
Liver,1,1,1959,1961,Sweden,292,11194440,1.79,19,575200099,16
Liver,1,2,1959,1961,Sweden,149,11246760,0.81,25,575200099,16
Liver,1,1,1960,1962,"UK, England, West Midlands Region",65,7053300,0.8,23,582600199,16
Liver,1,2,1960,1962,"UK, England, West Midlands Region",30,7218780,0.27,29,582600199,16
Liver,1,1,1960,1962,"USA, Connecticut",104,3833490,2.37,18,384000499,16
Liver,1,2,1960,1962,"USA, Connecticut",54,3977580,0.99,23,384000499,16
Liver,1,1,1960,1963,"USA, Hawaii",72,1352680,6.82,9,684009999,16
Liver,1,2,1960,1963,"USA, Hawaii",14,1178440,1.76,16,684009999,16
Gallbladder etc.,1,1,1960,1962,Canada,96,5617500,1.57,19,124,17
Gallbladder etc.,1,2,1960,1962,Canada,189,5292900,3.38,13,124,17
Gallbladder etc.,1,1,1962,1964,"Colombia, Cali",10,665831,3.4,16,217000199,17
Gallbladder etc.,1,2,1962,1964,"Colombia, Cali",35,732048,8.92,6,217000199,17
Gallbladder etc.,1,1,1953,1957,Denmark,203,10996550,1.36,19,520800099,17
Gallbladder etc.,1,2,1953,1957,Denmark,477,11172700,2.89,14,520800099,17
Gallbladder etc.,1,1,1959,1961,Finland,41,6417600,0.74,25,524600099,17
Gallbladder etc.,1,2,1959,1961,Finland,127,6921000,1.49,19,524600099,17
Gallbladder etc.,1,1,1960,1963,Israel,115,4551960,3.12,14,437600099,17
Gallbladder etc.,1,2,1960,1963,Israel,307,4423200,8.11,7,437600099,17
Gallbladder etc.,1,1,1959,1960,"Japan, Miyagi Prefecture",0,1697140,0,29,439200299,17
Gallbladder etc.,1,2,1959,1960,"Japan, Miyagi Prefecture",0,1789200,0,32,439200299,17
Gallbladder etc.,1,1,1960,1962,New Zealand,88,3666630,2.27,17,655400099,17
Gallbladder etc.,1,2,1960,1962,New Zealand,144,3626100,3.01,14,655400099,17
Gallbladder etc.,1,1,1959,1961,Norway,73,5368200,0.99,20,557800099,17
Gallbladder etc.,1,2,1959,1961,Norway,144,5405430,1.6,19,557800099,17
Gallbladder etc.,1,1,1956,1960,Slovenia,93,3714150,2.57,13,570500099,17
Gallbladder etc.,1,2,1956,1960,Slovenia,215,4096050,4.3,7,570500099,17
Gallbladder etc.,1,1,1959,1961,Sweden,273,11194440,1.66,20,575200099,17
Gallbladder etc.,1,2,1959,1961,Sweden,574,11246760,3.03,15,575200099,17
Gallbladder etc.,1,1,1960,1962,"UK, England, West Midlands Region",129,7053300,1.49,16,582600199,17
Gallbladder etc.,1,2,1960,1962,"UK, England, West Midlands Region",239,7218780,1.97,16,582600199,17
Gallbladder etc.,1,1,1960,1962,"USA, Connecticut",105,3833490,2.3,19,384000499,17
Gallbladder etc.,1,2,1960,1962,"USA, Connecticut",169,3977580,2.97,18,384000499,17
Gallbladder etc.,1,1,1960,1963,"USA, Hawaii",24,1352680,2.38,17,684009999,17
Gallbladder etc.,1,2,1960,1963,"USA, Hawaii",28,1178440,3.5,12,684009999,17
Pancreas,1,1,1960,1962,Canada,416,5617500,6.87,8,124,18
Pancreas,1,2,1960,1962,Canada,261,5292900,4.82,7,124,18
Pancreas,1,1,1962,1964,"Colombia, Cali",7,665831,2.92,21,217000199,18
Pancreas,1,2,1962,1964,"Colombia, Cali",16,732048,4.01,14,217000199,18
Pancreas,1,1,1953,1957,Denmark,830,10996550,5.69,9,520800099,18
Pancreas,1,2,1953,1957,Denmark,619,11172700,3.84,11,520800099,18
Pancreas,1,1,1959,1961,Finland,464,6417600,8.07,6,524600099,18
Pancreas,1,2,1959,1961,Finland,394,6921000,4.64,9,524600099,18
Pancreas,1,1,1960,1963,Israel,321,4551960,8.48,10,437600099,18
Pancreas,1,2,1960,1963,Israel,216,4423200,5.65,12,437600099,18
Pancreas,1,1,1959,1960,"Japan, Miyagi Prefecture",78,1697140,6.08,5,439200299,18
Pancreas,1,2,1959,1960,"Japan, Miyagi Prefecture",49,1789200,3.19,9,439200299,18
Pancreas,1,1,1960,1962,New Zealand,367,3666630,9.35,6,655400099,18
Pancreas,1,2,1960,1962,New Zealand,203,3626100,4.56,10,655400099,18
Pancreas,1,1,1959,1961,Norway,428,5368200,5.84,8,557800099,18
Pancreas,1,2,1959,1961,Norway,323,5405430,3.77,9,557800099,18
Pancreas,1,1,1956,1960,Slovenia,134,3714150,3.62,11,570500099,18
Pancreas,1,2,1956,1960,Slovenia,98,4096050,1.95,14,570500099,18
Pancreas,1,1,1959,1961,Sweden,1122,11194440,6.8,9,575200099,18
Pancreas,1,2,1959,1961,Sweden,824,11246760,4.38,11,575200099,18
Pancreas,1,1,1960,1962,"UK, England, West Midlands Region",563,7053300,6.69,7,582600199,18
Pancreas,1,2,1960,1962,"UK, England, West Midlands Region",482,7218780,4.13,9,582600199,18
Pancreas,1,1,1960,1962,"USA, Connecticut",408,3833490,9.09,8,384000499,18
Pancreas,1,2,1960,1962,"USA, Connecticut",314,3977580,5.68,9,384000499,18
Pancreas,1,1,1960,1963,"USA, Hawaii",72,1352680,6.97,8,684009999,18
Pancreas,1,2,1960,1963,"USA, Hawaii",41,1178440,5.19,9,684009999,18
Nose sinuses etc.,1,1,1960,1962,Canada,37,5617500,0.68,25,124,19
Nose sinuses etc.,1,2,1960,1962,Canada,27,5292900,0.49,27,124,19
Nose sinuses etc.,1,1,1962,1964,"Colombia, Cali",1,665831,0.34,26,217000199,19
Nose sinuses etc.,1,2,1962,1964,"Colombia, Cali",3,732048,0.77,25,217000199,19
Nose sinuses etc.,1,1,1953,1957,Denmark,154,10996550,1.1,21,520800099,19
Nose sinuses etc.,1,2,1953,1957,Denmark,45,11172700,0.32,27,520800099,19
Nose sinuses etc.,1,1,1959,1961,Finland,85,6417600,1.42,18,524600099,19
Nose sinuses etc.,1,2,1959,1961,Finland,54,6921000,0.67,26,524600099,19
Nose sinuses etc.,1,1,1960,1963,Israel,24,4551960,0.56,25,437600099,19
Nose sinuses etc.,1,2,1960,1963,Israel,14,4423200,0.32,29,437600099,19
Nose sinuses etc.,1,1,1959,1960,"Japan, Miyagi Prefecture",36,1697140,2.73,13,439200299,19
Nose sinuses etc.,1,2,1959,1960,"Japan, Miyagi Prefecture",33,1789200,2.07,13,439200299,19
Nose sinuses etc.,1,1,1960,1962,New Zealand,35,3666630,0.94,24,655400099,19
Nose sinuses etc.,1,2,1960,1962,New Zealand,15,3626100,0.38,28,655400099,19
Nose sinuses etc.,1,1,1959,1961,Norway,58,5368200,0.81,23,557800099,19
Nose sinuses etc.,1,2,1959,1961,Norway,33,5405430,0.41,26,557800099,19
Nose sinuses etc.,1,1,1956,1960,Slovenia,32,3714150,0.87,22,570500099,19
Nose sinuses etc.,1,2,1956,1960,Slovenia,26,4096050,0.56,25,570500099,19
Nose sinuses etc.,1,1,1959,1961,Sweden,143,11194440,0.89,26,575200099,19
Nose sinuses etc.,1,2,1959,1961,Sweden,106,11246760,0.62,28,575200099,19
Nose sinuses etc.,1,1,1960,1962,"UK, England, West Midlands Region",68,7053300,0.81,22,582600199,19
Nose sinuses etc.,1,2,1960,1962,"UK, England, West Midlands Region",53,7218780,0.48,25,582600199,19
Nose sinuses etc.,1,1,1960,1962,"USA, Connecticut",24,3833490,0.56,28,384000499,19
Nose sinuses etc.,1,2,1960,1962,"USA, Connecticut",23,3977580,0.46,29,384000499,19
Nose sinuses etc.,1,1,1960,1963,"USA, Hawaii",13,1352680,1.06,22,684009999,19
Nose sinuses etc.,1,2,1960,1963,"USA, Hawaii",4,1178440,0.37,27,684009999,19
Larynx,1,1,1960,1962,Canada,118,5617500,2,17,124,20
Larynx,1,2,1960,1962,Canada,11,5292900,0.19,29,124,20
Larynx,1,1,1962,1964,"Colombia, Cali",26,665831,8.52,6,217000199,20
Larynx,1,2,1962,1964,"Colombia, Cali",4,732048,0.98,24,217000199,20
Larynx,1,1,1953,1957,Denmark,196,10996550,1.44,18,520800099,20
Larynx,1,2,1953,1957,Denmark,31,11172700,0.19,29,520800099,20
Larynx,1,1,1959,1961,Finland,428,6417600,6.84,9,524600099,20
Larynx,1,2,1959,1961,Finland,34,6921000,0.42,28,524600099,20
Larynx,1,1,1960,1963,Israel,302,4551960,7.75,11,437600099,20
Larynx,1,2,1960,1963,Israel,32,4423200,0.78,26,437600099,20
Larynx,1,1,1959,1960,"Japan, Miyagi Prefecture",31,1697140,2.82,12,439200299,20
Larynx,1,2,1959,1960,"Japan, Miyagi Prefecture",11,1789200,0.73,20,439200299,20
Larynx,1,1,1960,1962,New Zealand,125,3666630,3.28,15,655400099,20
Larynx,1,2,1960,1962,New Zealand,4,3626100,0.11,29,655400099,20
Larynx,1,1,1959,1961,Norway,112,5368200,1.6,17,557800099,20
Larynx,1,2,1959,1961,Norway,4,5405430,0.04,29,557800099,20
Larynx,1,1,1956,1960,Slovenia,158,3714150,4.36,9,570500099,20
Larynx,1,2,1956,1960,Slovenia,19,4096050,0.36,27,570500099,20
Larynx,1,1,1959,1961,Sweden,291,11194440,1.84,18,575200099,20
Larynx,1,2,1959,1961,Sweden,35,11246760,0.21,29,575200099,20
Larynx,1,1,1960,1962,"UK, England, West Midlands Region",302,7053300,3.52,12,582600199,20
Larynx,1,2,1960,1962,"UK, England, West Midlands Region",34,7218780,0.31,28,582600199,20
Larynx,1,1,1960,1962,"USA, Connecticut",315,3833490,7.07,9,384000499,20
Larynx,1,2,1960,1962,"USA, Connecticut",28,3977580,0.59,27,384000499,20
Larynx,1,1,1960,1963,"USA, Hawaii",38,1352680,3.52,14,684009999,20
Larynx,1,2,1960,1963,"USA, Hawaii",9,1178440,1.14,19,684009999,20
Lung (incl. trachea and bronchus),1,1,1960,1962,Canada,1518,5617500,26.56,3,124,21
Lung (incl. trachea and bronchus),1,2,1960,1962,Canada,234,5292900,4.53,9,124,21
Lung (incl. trachea and bronchus),1,1,1962,1964,"Colombia, Cali",45,665831,15.89,3,217000199,21
Lung (incl. trachea and bronchus),1,2,1962,1964,"Colombia, Cali",14,732048,3.65,15,217000199,21
Lung (incl. trachea and bronchus),1,1,1953,1957,Denmark,3274,10996550,23.97,3,520800099,21
Lung (incl. trachea and bronchus),1,2,1953,1957,Denmark,661,11172700,4.25,9,520800099,21
Lung (incl. trachea and bronchus),1,1,1959,1961,Finland,3861,6417600,64.69,1,524600099,21
Lung (incl. trachea and bronchus),1,2,1959,1961,Finland,344,6921000,4.03,13,524600099,21
Lung (incl. trachea and bronchus),1,1,1960,1963,Israel,963,4551960,25.25,2,437600099,21
Lung (incl. trachea and bronchus),1,2,1960,1963,Israel,288,4423200,7.67,8,437600099,21
Lung (incl. trachea and bronchus),1,1,1959,1960,"Japan, Miyagi Prefecture",186,1697140,14.07,2,439200299,21
Lung (incl. trachea and bronchus),1,2,1959,1960,"Japan, Miyagi Prefecture",84,1789200,5.46,7,439200299,21
Lung (incl. trachea and bronchus),1,1,1960,1962,New Zealand,1463,3666630,39.31,1,655400099,21
Lung (incl. trachea and bronchus),1,2,1960,1962,New Zealand,229,3626100,5.56,9,655400099,21
Lung (incl. trachea and bronchus),1,1,1959,1961,Norway,945,5368200,13.54,4,557800099,21
Lung (incl. trachea and bronchus),1,2,1959,1961,Norway,228,5405430,2.8,12,557800099,21
Lung (incl. trachea and bronchus),1,1,1956,1960,Slovenia,1071,3714150,29.49,2,570500099,21
Lung (incl. trachea and bronchus),1,2,1956,1960,Slovenia,206,4096050,4.19,9,570500099,21
Lung (incl. trachea and bronchus),1,1,1959,1961,Sweden,2537,11194440,16.07,4,575200099,21
Lung (incl. trachea and bronchus),1,2,1959,1961,Sweden,696,11246760,3.89,12,575200099,21
Lung (incl. trachea and bronchus),1,1,1960,1962,"UK, England, West Midlands Region",6143,7053300,71.51,1,582600199,21
Lung (incl. trachea and bronchus),1,2,1960,1962,"UK, England, West Midlands Region",790,7218780,7.45,7,582600199,21
Lung (incl. trachea and bronchus),1,1,1960,1962,"USA, Connecticut",1895,3833490,42.74,1,384000499,21
Lung (incl. trachea and bronchus),1,2,1960,1962,"USA, Connecticut",341,3977580,6.72,7,384000499,21
Lung (incl. trachea and bronchus),1,1,1960,1963,"USA, Hawaii",281,1352680,27.46,2,684009999,21
Lung (incl. trachea and bronchus),1,2,1960,1963,"USA, Hawaii",80,1178440,9.49,6,684009999,21
Bone,1,1,1960,1962,Canada,64,5617500,1.16,21,124,23
Bone,1,2,1960,1962,Canada,53,5292900,1.01,23,124,23
Bone,1,1,1962,1964,"Colombia, Cali",16,665831,3.36,18,217000199,23
Bone,1,2,1962,1964,"Colombia, Cali",7,732048,1.03,22,217000199,23
Bone,1,1,1953,1957,Denmark,109,10996550,0.9,23,520800099,23
Bone,1,2,1953,1957,Denmark,85,11172700,0.69,25,520800099,23
Bone,1,1,1959,1961,Finland,146,6417600,2.38,15,524600099,23
Bone,1,2,1959,1961,Finland,119,6921000,1.55,18,524600099,23
Bone,1,1,1960,1963,Israel,53,4551960,1.22,24,437600099,23
Bone,1,2,1960,1963,Israel,38,4423200,0.83,25,437600099,23
Bone,1,1,1959,1960,"Japan, Miyagi Prefecture",35,1697140,2.37,14,439200299,23
Bone,1,2,1959,1960,"Japan, Miyagi Prefecture",20,1789200,1.25,17,439200299,23
Bone,1,1,1960,1962,New Zealand,44,3666630,1.25,21,655400099,23
Bone,1,2,1960,1962,New Zealand,37,3626100,0.91,22,655400099,23
Bone,1,1,1959,1961,Norway,35,5368200,0.66,25,557800099,23
Bone,1,2,1959,1961,Norway,33,5405430,0.63,24,557800099,23
Bone,1,1,1956,1960,Slovenia,44,3714150,1.23,20,570500099,23
Bone,1,2,1956,1960,Slovenia,52,4096050,1.16,19,570500099,23
Bone,1,1,1959,1961,Sweden,134,11194440,1.12,23,575200099,23
Bone,1,2,1959,1961,Sweden,99,11246760,0.79,26,575200099,23
Bone,1,1,1960,1962,"UK, England, West Midlands Region",62,7053300,0.84,21,582600199,23
Bone,1,2,1960,1962,"UK, England, West Midlands Region",54,7218780,0.63,23,582600199,23
Bone,1,1,1960,1962,"USA, Connecticut",44,3833490,1.18,21,384000499,23
Bone,1,2,1960,1962,"USA, Connecticut",39,3977580,0.89,24,384000499,23
Bone,1,1,1960,1963,"USA, Hawaii",9,1352680,0.74,23,684009999,23
Bone,1,2,1960,1963,"USA, Hawaii",4,1178440,0.36,28,684009999,23
Melanoma of skin,1,1,1960,1962,Canada,114,5617500,2,18,124,24
Melanoma of skin,1,2,1960,1962,Canada,117,5292900,2.28,18,124,24
Melanoma of skin,1,1,1962,1964,"Colombia, Cali",16,665831,4.69,12,217000199,24
Melanoma of skin,1,2,1962,1964,"Colombia, Cali",13,732048,3.29,16,217000199,24
Melanoma of skin,1,1,1953,1957,Denmark,206,10996550,1.5,17,520800099,24
Melanoma of skin,1,2,1953,1957,Denmark,298,11172700,2.17,17,520800099,24
Melanoma of skin,1,1,1959,1961,Finland,112,6417600,1.89,16,524600099,24
Melanoma of skin,1,2,1959,1961,Finland,161,6921000,2.07,16,524600099,24
Melanoma of skin,1,1,1960,1963,Israel,101,4551960,2.32,17,437600099,24
Melanoma of skin,1,2,1960,1963,Israel,128,4423200,3.12,17,437600099,24
Melanoma of skin,1,1,1959,1960,"Japan, Miyagi Prefecture",4,1697140,0.31,24,439200299,24
Melanoma of skin,1,2,1959,1960,"Japan, Miyagi Prefecture",3,1789200,0.2,24,439200299,24
Melanoma of skin,1,1,1960,1962,New Zealand,174,3666630,4.54,12,655400099,24
Melanoma of skin,1,2,1960,1962,New Zealand,290,3626100,7.69,7,655400099,24
Melanoma of skin,1,1,1959,1961,Norway,178,5368200,2.73,15,557800099,24
Melanoma of skin,1,2,1959,1961,Norway,180,5405430,2.56,13,557800099,24
Melanoma of skin,1,1,1956,1960,Slovenia,46,3714150,1.26,19,570500099,24
Melanoma of skin,1,2,1956,1960,Slovenia,69,4096050,1.43,17,570500099,24
Melanoma of skin,1,1,1959,1961,Sweden,338,11194440,2.37,16,575200099,24
Melanoma of skin,1,2,1959,1961,Sweden,410,11246760,2.77,18,575200099,24
Melanoma of skin,1,1,1960,1962,"UK, England, West Midlands Region",75,7053300,0.93,20,582600199,24
Melanoma of skin,1,2,1960,1962,"UK, England, West Midlands Region",139,7218780,1.56,18,582600199,24
Melanoma of skin,1,1,1960,1962,"USA, Connecticut",127,3833490,3.04,15,384000499,24
Melanoma of skin,1,2,1960,1962,"USA, Connecticut",153,3977580,3.41,15,384000499,24
Melanoma of skin,1,1,1960,1963,"USA, Hawaii",19,1352680,1.61,20,684009999,24
Melanoma of skin,1,2,1960,1963,"USA, Hawaii",9,1178440,0.77,23,684009999,24
Connective tissue,1,1,1960,1962,Canada,122,5617500,2.15,16,124,28
Connective tissue,1,2,1960,1962,Canada,83,5292900,1.61,20,124,28
Connective tissue,1,1,1962,1964,"Colombia, Cali",22,665831,5.43,10,217000199,28
Connective tissue,1,2,1962,1964,"Colombia, Cali",10,732048,1.79,18,217000199,28
Connective tissue,1,1,1953,1957,Denmark,154,10996550,1.19,20,520800099,28
Connective tissue,1,2,1953,1957,Denmark,162,11172700,1.22,23,520800099,28
Connective tissue,1,1,1959,1961,Finland,88,6417600,1.43,17,524600099,28
Connective tissue,1,2,1959,1961,Finland,100,6921000,1.32,22,524600099,28
Connective tissue,1,1,1960,1963,Israel,113,4551960,2.7,16,437600099,28
Connective tissue,1,2,1960,1963,Israel,105,4423200,2.53,19,437600099,28
Connective tissue,1,1,1959,1960,"Japan, Miyagi Prefecture",1,1697140,0.07,27,439200299,28
Connective tissue,1,2,1959,1960,"Japan, Miyagi Prefecture",5,1789200,0.29,23,439200299,28
Connective tissue,1,1,1960,1962,New Zealand,69,3666630,1.92,18,655400099,28
Connective tissue,1,2,1960,1962,New Zealand,35,3626100,0.9,23,655400099,28
Connective tissue,1,1,1959,1961,Norway,67,5368200,0.99,19,557800099,28
Connective tissue,1,2,1959,1961,Norway,59,5405430,0.88,21,557800099,28
Connective tissue,1,1,1956,1960,Slovenia,35,3714150,0.93,21,570500099,28
Connective tissue,1,2,1956,1960,Slovenia,41,4096050,0.94,23,570500099,28
Connective tissue,1,1,1959,1961,Sweden,280,11194440,2.01,17,575200099,28
Connective tissue,1,2,1959,1961,Sweden,235,11246760,1.63,21,575200099,28
Connective tissue,1,1,1960,1962,"UK, England, West Midlands Region",118,7053300,1.48,17,582600199,28
Connective tissue,1,2,1960,1962,"UK, England, West Midlands Region",109,7218780,1.17,21,582600199,28
Connective tissue,1,1,1960,1962,"USA, Connecticut",112,3833490,2.67,16,384000499,28
Connective tissue,1,2,1960,1962,"USA, Connecticut",98,3977580,2.18,19,384000499,28
Connective tissue,1,1,1960,1963,"USA, Hawaii",25,1352680,1.91,19,684009999,28
Connective tissue,1,2,1960,1963,"USA, Hawaii",11,1178440,1.05,20,684009999,28
Breast,1,1,1960,1962,Canada,23,5617500,0.37,27,124,29
Breast,1,2,1960,1962,Canada,2744,5292900,53.34,1,124,29
Breast,1,1,1962,1964,"Colombia, Cali",1,665831,0.34,27,217000199,29
Breast,1,2,1962,1964,"Colombia, Cali",134,732048,31.35,2,217000199,29
Breast,1,1,1953,1957,Denmark,57,10996550,0.39,27,520800099,29
Breast,1,2,1953,1957,Denmark,6333,11172700,42.4,1,520800099,29
Breast,1,1,1959,1961,Finland,20,6417600,0.37,28,524600099,29
Breast,1,2,1959,1961,Finland,2102,6921000,26.07,2,524600099,29
Breast,1,1,1960,1963,Israel,54,4551960,1.45,22,437600099,29
Breast,1,2,1960,1963,Israel,2070,4423200,49.65,1,437600099,29
Breast,1,1,1959,1960,"Japan, Miyagi Prefecture",5,1697140,0.35,22,439200299,29
Breast,1,2,1959,1960,"Japan, Miyagi Prefecture",215,1789200,13.16,3,439200299,29
Breast,1,1,1960,1962,New Zealand,16,3666630,0.41,28,655400099,29
