country_code,sex,volume,cancer,rank,cases,py,asr,per1,per2,cancer_label,country_label
17000,2,10,2,21,62,6184569,0.7,2013,2017,Oesophagus,Colombia
17000,2,10,10,22,30,6184569,0.33,2013,2017,Larynx,Colombia
17000,2,10,13,23,12,6184569,0.14,2013,2017,Kaposi sarcoma,Colombia
17000,2,10,19,24,0,11849270,0,2013,2017,Prostate,Colombia
17000,2,10,20,25,0,11849270,0,2013,2017,Testis,Colombia
35600,1,1,1,1,1245,9223031,19.32,1983,1987,"Lip,  oral cavity and pharynx ",India
35600,1,1,3,2,890,9223031,13.78,1983,1987,Stomach,India
35600,1,1,11,3,503,9223031,7.73,1983,1987,Lung,India
35600,1,1,2,4,444,9223031,7.01,1983,1987,Oesophagus,India
35600,1,1,10,5,258,9223031,4.18,1983,1987,Larynx,India
35600,1,1,106,6,234,9223031,3.53,1983,1987,Colorectum,India
35600,1,1,26,7,219,9223031,2.79,1983,1987,Non-Hodgkin lymphoma,India
35600,1,1,28,8,217,9223031,2.68,1983,1987,Leukaemia,India
35600,1,1,23,9,188,9223031,2.15,1983,1987,Brain and central nervous system,India
35600,1,1,7,10,141,9223031,2.05,1983,1987,Liver,India
35600,1,1,19,11,100,9223031,1.96,1983,1987,Prostate,India
35600,1,1,22,12,102,9223031,1.73,1983,1987,Bladder,India
35600,1,1,25,13,136,9223031,1.5,1983,1987,Hodgkin lymphoma,India
35600,1,1,9,14,72,9223031,1.05,1983,1987,Pancreas,India
35600,1,1,21,15,65,9223031,0.96,1983,1987,Kidney,India
35600,1,1,24,16,43,9223031,0.64,1983,1987,Thyroid,India
35600,1,1,27,17,39,9223031,0.62,1983,1987,Multiple myeloma,India
35600,1,1,20,18,54,9223031,0.59,1983,1987,Testis,India
35600,1,1,8,19,28,9223031,0.42,1983,1987,Gallbladder etc.,India
35600,1,1,12,20,25,9223031,0.39,1983,1987,Melanoma of skin,India
35600,1,1,13,21,1,9223031,0.01,1983,1987,Kaposi sarcoma,India
35600,1,1,14,22,0,17837732,0,1983,1987,Breast,India
35600,1,1,15,23,0,17837732,0,1983,1987,Uterus,India
35600,1,1,16,24,0,17837732,0,1983,1987,Cervix uteri,India
35600,1,1,17,25,0,17837732,0,1983,1987,Corpus uteri,India
35600,1,1,18,26,0,17837732,0,1983,1987,Ovary,India
35600,1,10,1,1,3423,11940895,26.37,2013,2017,"Lip,  oral cavity and pharynx ",India
35600,1,10,11,2,1453,11940895,12.17,2013,2017,Lung,India
35600,1,10,3,3,1271,11940895,10.34,2013,2017,Stomach,India
35600,1,10,106,4,1184,11940895,9.6,2013,2017,Colorectum,India
35600,1,10,19,5,981,11940895,8.73,2013,2017,Prostate,India
35600,1,10,28,6,616,11940895,5.45,2013,2017,Leukaemia,India
35600,1,10,7,7,577,11940895,4.84,2013,2017,Liver,India
35600,1,10,10,8,563,11940895,4.62,2013,2017,Larynx,India
35600,1,10,26,9,545,11940895,4.52,2013,2017,Non-Hodgkin lymphoma,India
35600,1,10,2,10,534,11940895,4.45,2013,2017,Oesophagus,India
35600,1,10,22,11,425,11940895,3.81,2013,2017,Bladder,India
35600,1,10,23,12,370,11940895,2.99,2013,2017,Brain and central nervous system,India
35600,1,10,9,13,275,11940895,2.25,2013,2017,Pancreas,India
35600,1,10,21,14,229,11940895,1.91,2013,2017,Kidney,India
35600,1,10,27,15,220,11940895,1.8,2013,2017,Multiple myeloma,India
35600,1,10,24,16,165,11940895,1.29,2013,2017,Thyroid,India
35600,1,10,25,17,146,11940895,1.24,2013,2017,Hodgkin lymphoma,India
35600,1,10,8,18,100,11940895,0.88,2013,2017,Gallbladder etc.,India
35600,1,10,20,19,69,11940895,0.52,2013,2017,Testis,India
35600,1,10,12,20,50,11940895,0.39,2013,2017,Melanoma of skin,India
35600,1,10,13,21,2,11940895,0.01,2013,2017,Kaposi sarcoma,India
35600,1,10,14,22,0,23925981,0,2013,2017,Breast,India
35600,1,10,15,23,0,23925981,0,2013,2017,Uterus,India
35600,1,10,16,24,0,23925981,0,2013,2017,Cervix uteri,India
35600,1,10,17,25,0,23925981,0,2013,2017,Corpus uteri,India
35600,1,10,18,26,0,23925981,0,2013,2017,Ovary,India
35600,2,1,15,1,3057,8614701,46.51,1983,1987,Uterus,India
35600,2,1,16,2,2895,8614701,43.87,1983,1987,Cervix uteri,India
35600,2,1,14,3,1220,8614701,18.62,1983,1987,Breast,India
35600,2,1,1,4,804,8614701,12.72,1983,1987,"Lip,  oral cavity and pharynx ",India
35600,2,1,3,5,390,8614701,6.22,1983,1987,Stomach,India
35600,2,1,2,6,354,8614701,5.75,1983,1987,Oesophagus,India
35600,2,1,18,7,357,8614701,5.24,1983,1987,Ovary,India
35600,2,1,106,8,191,8614701,3.15,1983,1987,Colorectum,India
35600,2,1,28,9,148,8614701,1.82,1983,1987,Leukaemia,India
35600,2,1,17,10,99,8614701,1.66,1983,1987,Corpus uteri,India
35600,2,1,24,11,117,8614701,1.65,1983,1987,Thyroid,India
35600,2,1,11,12,76,8614701,1.25,1983,1987,Lung,India
35600,2,1,26,13,90,8614701,1.23,1983,1987,Non-Hodgkin lymphoma,India
35600,2,1,23,14,92,8614701,1.16,1983,1987,Brain and central nervous system,India
35600,2,1,7,15,42,8614701,0.67,1983,1987,Liver,India
35600,2,1,25,16,54,8614701,0.62,1983,1987,Hodgkin lymphoma,India
35600,2,1,9,17,39,8614701,0.61,1983,1987,Pancreas,India
35600,2,1,22,18,33,8614701,0.56,1983,1987,Bladder,India
35600,2,1,10,19,35,8614701,0.54,1983,1987,Larynx,India
35600,2,1,21,20,34,8614701,0.49,1983,1987,Kidney,India
35600,2,1,27,21,26,8614701,0.42,1983,1987,Multiple myeloma,India
35600,2,1,8,22,25,8614701,0.41,1983,1987,Gallbladder etc.,India
35600,2,1,12,23,21,8614701,0.3,1983,1987,Melanoma of skin,India
35600,2,1,13,24,0,8614701,0,1983,1987,Kaposi sarcoma,India
35600,2,1,19,25,0,17837732,0,1983,1987,Prostate,India
35600,2,1,20,26,0,17837732,0,1983,1987,Testis,India
35600,2,10,14,1,5819,11985086,44.14,2013,2017,Breast,India
35600,2,10,16,2,1804,11985086,14.06,2013,2017,Cervix uteri,India
35600,2,10,1,3,1249,11985086,9.65,2013,2017,"Lip,  oral cavity and pharynx ",India
35600,2,10,18,4,1054,11985086,8.17,2013,2017,Ovary,India
35600,2,10,106,5,988,11985086,7.66,2013,2017,Colorectum,India
35600,2,10,17,6,843,11985086,6.7,2013,2017,Corpus uteri,India
35600,2,10,3,7,677,11985086,5.22,2013,2017,Stomach,India
35600,2,10,11,8,583,11985086,4.55,2013,2017,Lung,India
35600,2,10,28,9,472,11985086,4.13,2013,2017,Leukaemia,India
35600,2,10,2,10,424,11985086,3.25,2013,2017,Oesophagus,India
35600,2,10,26,11,380,11985086,3.07,2013,2017,Non-Hodgkin lymphoma,India
35600,2,10,24,12,379,11985086,2.73,2013,2017,Thyroid,India
35600,2,10,23,13,267,11985086,2.18,2013,2017,Brain and central nervous system,India
35600,2,10,7,14,209,11985086,1.67,2013,2017,Liver,India
35600,2,10,9,15,186,11985086,1.49,2013,2017,Pancreas,India
35600,2,10,27,16,152,11985086,1.19,2013,2017,Multiple myeloma,India
35600,2,10,21,17,137,11985086,1.14,2013,2017,Kidney,India
35600,2,10,22,18,131,11985086,1.03,2013,2017,Bladder,India
35600,2,10,8,19,122,11985086,0.97,2013,2017,Gallbladder etc.,India
35600,2,10,25,20,107,11985086,0.86,2013,2017,Hodgkin lymphoma,India
35600,2,10,10,21,88,11985086,0.69,2013,2017,Larynx,India
35600,2,10,12,22,50,11985086,0.37,2013,2017,Melanoma of skin,India
35600,2,10,13,23,0,11985086,0,2013,2017,Kaposi sarcoma,India
35600,2,10,19,24,0,23925981,0,2013,2017,Prostate,India
35600,2,10,20,25,0,23925981,0,2013,2017,Testis,India
