cancer,cancer_label,volume,sex,per1,per2,country_code,country_label,cases,py,asr,rank
33,Thyroid,1,1,1962,1964,17001,"Colombia, Cali",17,665831,4.5,13
38,Leukaemia,1,1,1962,1964,17001,"Colombia, Cali",24,665831,4.14,14
11,Liver,1,1,1962,1964,17001,"Colombia, Cali",13,665831,4.04,15
12,Gallbladder etc.,1,1,1962,1964,17001,"Colombia, Cali",10,665831,3.4,16
35,Hodgkin lymphoma,1,1,1962,1964,17001,"Colombia, Cali",17,665831,3.39,17
17,Bone,1,1,1962,1964,17001,"Colombia, Cali",16,665831,3.36,18
30,Bladder,1,1,1962,1964,17001,"Colombia, Cali",11,665831,3.32,19
32,"Brain, central nervous system",1,1,1962,1964,17001,"Colombia, Cali",19,665831,2.94,20
13,Pancreas,1,1,1962,1964,17001,"Colombia, Cali",7,665831,2.92,21
28,Testis,1,1,1962,1964,17001,"Colombia, Cali",10,665831,2.15,22
8,Small intestine,1,1,1962,1964,17001,"Colombia, Cali",5,665831,1.65,23
31,Eye,1,1,1962,1964,17001,"Colombia, Cali",6,665831,1.42,24
37,Multiple myeloma,1,1,1962,1964,17001,"Colombia, Cali",2,665831,0.37,25
14,Nose sinuses etc.,1,1,1962,1964,17001,"Colombia, Cali",1,665831,0.34,26
21,Breast,1,1,1962,1964,17001,"Colombia, Cali",1,665831,0.34,27
23,Corpus uteri,1,1,1962,1964,17001,"Colombia, Cali",0,665831,0,28
24,Ovary etc.,1,1,1962,1964,17001,"Colombia, Cali",0,665831,0,29
34,Other endocrine,1,1,1962,1964,17001,"Colombia, Cali",0,665831,0,30
22,Cervix uteri,1,1,1962,1964,17001,"Colombia, Cali",0,665831,0,31
25,Other female genital organs,1,1,1962,1964,17001,"Colombia, Cali",0,665831,0,32
7,Stomach,1,1,1953,1957,20800,Denmark,4479,10996550,29.28,1
52,Colorectum,1,1,1953,1957,20800,Denmark,4289,10996550,28.33,2
16,Lung (incl. trachea and bronchus),1,1,1953,1957,20800,Denmark,3274,10996550,23.97,3
27,Prostate,1,1,1953,1957,20800,Denmark,2602,10996550,15.71,4
29,Kidney,1,1,1953,1957,20800,Denmark,1481,10996550,10.23,5
38,Leukaemia,1,1,1953,1957,20800,Denmark,1032,10996550,8.04,6
51,"Lip, oral cavity and pharynx",1,1,1953,1957,20800,Denmark,1077,10996550,7.62,7
32,"Brain, central nervous system",1,1,1953,1957,20800,Denmark,803,10996550,6.58,8
13,Pancreas,1,1,1953,1957,20800,Denmark,830,10996550,5.69,9
30,Bladder,1,1,1953,1957,20800,Denmark,708,10996550,5.08,10
28,Testis,1,1,1953,1957,20800,Denmark,438,10996550,3.78,11
6,Oesophagus,1,1,1953,1957,20800,Denmark,509,10996550,3.27,12
35,Hodgkin lymphoma,1,1,1953,1957,20800,Denmark,299,10996550,2.55,13
11,Liver,1,1,1953,1957,20800,Denmark,378,10996550,2.46,14
36,Non-Hodgkin lymphoma,1,1,1953,1957,20800,Denmark,303,10996550,2.25,15
37,Multiple myeloma,1,1,1953,1957,20800,Denmark,256,10996550,1.83,16
18,Melanoma of skin,1,1,1953,1957,20800,Denmark,206,10996550,1.5,17
15,Larynx,1,1,1953,1957,20800,Denmark,196,10996550,1.44,18
12,Gallbladder etc.,1,1,1953,1957,20800,Denmark,203,10996550,1.36,19
20,Connective tissue,1,1,1953,1957,20800,Denmark,154,10996550,1.19,20
14,Nose sinuses etc.,1,1,1953,1957,20800,Denmark,154,10996550,1.1,21
26,Penis,1,1,1953,1957,20800,Denmark,146,10996550,1.01,22
17,Bone,1,1,1953,1957,20800,Denmark,109,10996550,0.9,23
31,Eye,1,1,1953,1957,20800,Denmark,111,10996550,0.89,24
8,Small intestine,1,1,1953,1957,20800,Denmark,76,10996550,0.54,25
33,Thyroid,1,1,1953,1957,20800,Denmark,70,10996550,0.52,26
21,Breast,1,1,1953,1957,20800,Denmark,57,10996550,0.39,27
34,Other endocrine,1,1,1953,1957,20800,Denmark,36,10996550,0.29,28
25,Other female genital organs,1,1,1953,1957,20800,Denmark,0,10996550,0,29
23,Corpus uteri,1,1,1953,1957,20800,Denmark,0,10996550,0,30
22,Cervix uteri,1,1,1953,1957,20800,Denmark,0,10996550,0,31
24,Ovary etc.,1,1,1953,1957,20800,Denmark,0,10996550,0,32
7,Stomach,1,1,1960,1963,37600,Israel,1026,4551960,27.78,1
16,Lung (incl. trachea and bronchus),1,1,1960,1963,37600,Israel,963,4551960,25.25,2
52,Colorectum,1,1,1960,1963,37600,Israel,684,4551960,18.1,3
27,Prostate,1,1,1960,1963,37600,Israel,463,4551960,13.66,4
29,Kidney,1,1,1960,1963,37600,Israel,446,4551960,11.75,5
32,"Brain, central nervous system",1,1,1960,1963,37600,Israel,446,4551960,10.25,6
36,Non-Hodgkin lymphoma,1,1,1960,1963,37600,Israel,394,4551960,9.56,7
38,Leukaemia,1,1,1960,1963,37600,Israel,381,4551960,9.29,8
51,"Lip, oral cavity and pharynx",1,1,1960,1963,37600,Israel,361,4551960,8.73,9
13,Pancreas,1,1,1960,1963,37600,Israel,321,4551960,8.48,10
15,Larynx,1,1,1960,1963,37600,Israel,302,4551960,7.75,11
30,Bladder,1,1,1960,1963,37600,Israel,242,4551960,6.37,12
6,Oesophagus,1,1,1960,1963,37600,Israel,137,4551960,3.87,13
12,Gallbladder etc.,1,1,1960,1963,37600,Israel,115,4551960,3.12,14
35,Hodgkin lymphoma,1,1,1960,1963,37600,Israel,121,4551960,2.85,15
20,Connective tissue,1,1,1960,1963,37600,Israel,113,4551960,2.7,16
18,Melanoma of skin,1,1,1960,1963,37600,Israel,101,4551960,2.32,17
37,Multiple myeloma,1,1,1960,1963,37600,Israel,83,4551960,2.09,18
11,Liver,1,1,1960,1963,37600,Israel,79,4551960,2.09,19
33,Thyroid,1,1,1960,1963,37600,Israel,81,4551960,2.03,20
28,Testis,1,1,1960,1963,37600,Israel,64,4551960,1.53,21
21,Breast,1,1,1960,1963,37600,Israel,54,4551960,1.45,22
31,Eye,1,1,1960,1963,37600,Israel,52,4551960,1.22,23
17,Bone,1,1,1960,1963,37600,Israel,53,4551960,1.22,24
14,Nose sinuses etc.,1,1,1960,1963,37600,Israel,24,4551960,0.56,25
8,Small intestine,1,1,1960,1963,37600,Israel,21,4551960,0.54,26
34,Other endocrine,1,1,1960,1963,37600,Israel,21,4551960,0.47,27
26,Penis,1,1,1960,1963,37600,Israel,3,4551960,0.08,28
23,Corpus uteri,1,1,1960,1963,37600,Israel,0,4551960,0,29
22,Cervix uteri,1,1,1960,1963,37600,Israel,0,4551960,0,30
25,Other female genital organs,1,1,1960,1963,37600,Israel,0,4551960,0,31
24,Ovary etc.,1,1,1960,1963,37600,Israel,0,4551960,0,32
7,Stomach,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",1244,1697140,95.33,1
16,Lung (incl. trachea and bronchus),1,1,1959,1960,39203,"Japan, Miyagi Prefecture",186,1697140,14.07,2
6,Oesophagus,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",171,1697140,13.41,3
52,Colorectum,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",109,1697140,8.81,4
13,Pancreas,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",78,1697140,6.08,5
11,Liver,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",78,1697140,6.01,6
29,Kidney,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",45,1697140,4.14,7
27,Prostate,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",46,1697140,3.83,8
38,Leukaemia,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",56,1697140,3.78,9
51,"Lip, oral cavity and pharynx",1,1,1959,1960,39203,"Japan, Miyagi Prefecture",43,1697140,3.23,10
36,Non-Hodgkin lymphoma,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",41,1697140,2.95,11
15,Larynx,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",31,1697140,2.82,12
14,Nose sinuses etc.,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",36,1697140,2.73,13
17,Bone,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",35,1697140,2.37,14
33,Thyroid,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",12,1697140,1.06,15
35,Hodgkin lymphoma,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",11,1697140,0.92,16
30,Bladder,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",12,1697140,0.88,17
26,Penis,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",10,1697140,0.71,18
28,Testis,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",9,1697140,0.63,19
31,Eye,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",7,1697140,0.5,20
32,"Brain, central nervous system",1,1,1959,1960,39203,"Japan, Miyagi Prefecture",5,1697140,0.36,21
21,Breast,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",5,1697140,0.35,22
37,Multiple myeloma,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",4,1697140,0.32,23
18,Melanoma of skin,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",4,1697140,0.31,24
8,Small intestine,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",2,1697140,0.15,25
34,Other endocrine,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",2,1697140,0.12,26
20,Connective tissue,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",1,1697140,0.07,27
23,Corpus uteri,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",0,1697140,0,28
12,Gallbladder etc.,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",0,1697140,0,29
24,Ovary etc.,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",0,1697140,0,30
25,Other female genital organs,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",0,1697140,0,31
22,Cervix uteri,1,1,1959,1960,39203,"Japan, Miyagi Prefecture",0,1697140,0,32
16,Lung (incl. trachea and bronchus),1,1,1960,1962,55400,New Zealand,1463,3666630,39.31,1
52,Colorectum,1,1,1960,1962,55400,New Zealand,1377,3666630,35.81,2
27,Prostate,1,1,1960,1962,55400,New Zealand,1417,3666630,34.38,3
7,Stomach,1,1,1960,1962,55400,New Zealand,900,3666630,22.92,4
29,Kidney,1,1,1960,1962,55400,New Zealand,404,3666630,10.4,5
13,Pancreas,1,1,1960,1962,55400,New Zealand,367,3666630,9.35,6
38,Leukaemia,1,1,1960,1962,55400,New Zealand,318,3666630,8.29,7
51,"Lip, oral cavity and pharynx",1,1,1960,1962,55400,New Zealand,306,3666630,8.17,8
30,Bladder,1,1,1960,1962,55400,New Zealand,225,3666630,6.09,9
32,"Brain, central nervous system",1,1,1960,1962,55400,New Zealand,218,3666630,5.85,10
36,Non-Hodgkin lymphoma,1,1,1960,1962,55400,New Zealand,209,3666630,5.67,11
18,Melanoma of skin,1,1,1960,1962,55400,New Zealand,174,3666630,4.54,12
6,Oesophagus,1,1,1960,1962,55400,New Zealand,176,3666630,4.49,13
28,Testis,1,1,1960,1962,55400,New Zealand,121,3666630,3.46,14
15,Larynx,1,1,1960,1962,55400,New Zealand,125,3666630,3.28,15
35,Hodgkin lymphoma,1,1,1960,1962,55400,New Zealand,93,3666630,2.54,16
12,Gallbladder etc.,1,1,1960,1962,55400,New Zealand,88,3666630,2.27,17
20,Connective tissue,1,1,1960,1962,55400,New Zealand,69,3666630,1.92,18
37,Multiple myeloma,1,1,1960,1962,55400,New Zealand,73,3666630,1.89,19
11,Liver,1,1,1960,1962,55400,New Zealand,59,3666630,1.51,20
17,Bone,1,1,1960,1962,55400,New Zealand,44,3666630,1.25,21
8,Small intestine,1,1,1960,1962,55400,New Zealand,46,3666630,1.23,22
31,Eye,1,1,1960,1962,55400,New Zealand,39,3666630,1.02,23
14,Nose sinuses etc.,1,1,1960,1962,55400,New Zealand,35,3666630,0.94,24
33,Thyroid,1,1,1960,1962,55400,New Zealand,33,3666630,0.89,25
26,Penis,1,1,1960,1962,55400,New Zealand,28,3666630,0.71,26
34,Other endocrine,1,1,1960,1962,55400,New Zealand,17,3666630,0.44,27
21,Breast,1,1,1960,1962,55400,New Zealand,16,3666630,0.41,28
22,Cervix uteri,1,1,1960,1962,55400,New Zealand,0,3666630,0,29
24,Ovary etc.,1,1,1960,1962,55400,New Zealand,0,3666630,0,30
23,Corpus uteri,1,1,1960,1962,55400,New Zealand,0,3666630,0,31
25,Other female genital organs,1,1,1960,1962,55400,New Zealand,0,3666630,0,32
7,Stomach,1,1,1959,1961,57800,Norway,2468,5368200,32.96,1
27,Prostate,1,1,1959,1961,57800,Norway,2002,5368200,25.04,2
52,Colorectum,1,1,1959,1961,57800,Norway,1268,5368200,17.05,3
16,Lung (incl. trachea and bronchus),1,1,1959,1961,57800,Norway,945,5368200,13.54,4
38,Leukaemia,1,1,1959,1961,57800,Norway,483,5368200,7.55,5
51,"Lip, oral cavity and pharynx",1,1,1959,1961,57800,Norway,545,5368200,7.47,6
32,"Brain, central nervous system",1,1,1959,1961,57800,Norway,448,5368200,7.4,7
13,Pancreas,1,1,1959,1961,57800,Norway,428,5368200,5.84,8
30,Bladder,1,1,1959,1961,57800,Norway,375,5368200,5.38,9
29,Kidney,1,1,1959,1961,57800,Norway,365,5368200,4.89,10
36,Non-Hodgkin lymphoma,1,1,1959,1961,57800,Norway,275,5368200,4.25,11
28,Testis,1,1,1959,1961,57800,Norway,186,5368200,3.35,12
6,Oesophagus,1,1,1959,1961,57800,Norway,247,5368200,3.32,13
37,Multiple myeloma,1,1,1959,1961,57800,Norway,217,5368200,2.91,14
18,Melanoma of skin,1,1,1959,1961,57800,Norway,178,5368200,2.73,15
35,Hodgkin lymphoma,1,1,1959,1961,57800,Norway,159,5368200,2.67,16
15,Larynx,1,1,1959,1961,57800,Norway,112,5368200,1.6,17
11,Liver,1,1,1959,1961,57800,Norway,71,5368200,1.01,18
20,Connective tissue,1,1,1959,1961,57800,Norway,67,5368200,0.99,19
12,Gallbladder etc.,1,1,1959,1961,57800,Norway,73,5368200,0.99,20
33,Thyroid,1,1,1959,1961,57800,Norway,68,5368200,0.96,21
31,Eye,1,1,1959,1961,57800,Norway,56,5368200,0.86,22
14,Nose sinuses etc.,1,1,1959,1961,57800,Norway,58,5368200,0.81,23
26,Penis,1,1,1959,1961,57800,Norway,53,5368200,0.72,24
17,Bone,1,1,1959,1961,57800,Norway,35,5368200,0.66,25
8,Small intestine,1,1,1959,1961,57800,Norway,25,5368200,0.38,26
21,Breast,1,1,1959,1961,57800,Norway,19,5368200,0.26,27
34,Other endocrine,1,1,1959,1961,57800,Norway,13,5368200,0.26,28
23,Corpus uteri,1,1,1959,1961,57800,Norway,0,5368200,0,29
22,Cervix uteri,1,1,1959,1961,57800,Norway,0,5368200,0,30
25,Other female genital organs,1,1,1959,1961,57800,Norway,0,5368200,0,31
24,Ovary etc.,1,1,1959,1961,57800,Norway,0,5368200,0,32
7,Stomach,1,1,1956,1960,70500,Slovenia,1739,3714150,48.18,1
16,Lung (incl. trachea and bronchus),1,1,1956,1960,70500,Slovenia,1071,3714150,29.49,2
52,Colorectum,1,1,1956,1960,70500,Slovenia,411,3714150,11.48,3
27,Prostate,1,1,1956,1960,70500,Slovenia,387,3714150,10.85,4
51,"Lip, oral cavity and pharynx",1,1,1956,1960,70500,Slovenia,382,3714150,10.52,5
6,Oesophagus,1,1,1956,1960,70500,Slovenia,239,3714150,6.66,6
38,Leukaemia,1,1,1956,1960,70500,Slovenia,188,3714150,5.15,7
29,Kidney,1,1,1956,1960,70500,Slovenia,170,3714150,4.8,8
15,Larynx,1,1,1956,1960,70500,Slovenia,158,3714150,4.36,9
32,"Brain, central nervous system",1,1,1956,1960,70500,Slovenia,154,3714150,4.02,10
13,Pancreas,1,1,1956,1960,70500,Slovenia,134,3714150,3.62,11
36,Non-Hodgkin lymphoma,1,1,1956,1960,70500,Slovenia,110,3714150,2.96,12
12,Gallbladder etc.,1,1,1956,1960,70500,Slovenia,93,3714150,2.57,13
30,Bladder,1,1,1956,1960,70500,Slovenia,94,3714150,2.55,14
11,Liver,1,1,1956,1960,70500,Slovenia,69,3714150,1.9,15
35,Hodgkin lymphoma,1,1,1956,1960,70500,Slovenia,66,3714150,1.78,16
33,Thyroid,1,1,1956,1960,70500,Slovenia,62,3714150,1.71,17
28,Testis,1,1,1956,1960,70500,Slovenia,47,3714150,1.26,18
18,Melanoma of skin,1,1,1956,1960,70500,Slovenia,46,3714150,1.26,19
17,Bone,1,1,1956,1960,70500,Slovenia,44,3714150,1.23,20
20,Connective tissue,1,1,1956,1960,70500,Slovenia,35,3714150,0.93,21
14,Nose sinuses etc.,1,1,1956,1960,70500,Slovenia,32,3714150,0.87,22
37,Multiple myeloma,1,1,1956,1960,70500,Slovenia,29,3714150,0.78,23
26,Penis,1,1,1956,1960,70500,Slovenia,25,3714150,0.69,24
31,Eye,1,1,1956,1960,70500,Slovenia,19,3714150,0.58,25
8,Small intestine,1,1,1956,1960,70500,Slovenia,12,3714150,0.31,26
34,Other endocrine,1,1,1956,1960,70500,Slovenia,8,3714150,0.23,27
21,Breast,1,1,1956,1960,70500,Slovenia,5,3714150,0.14,28
22,Cervix uteri,1,1,1956,1960,70500,Slovenia,0,3714150,0,29
25,Other female genital organs,1,1,1956,1960,70500,Slovenia,0,3714150,0,30
23,Corpus uteri,1,1,1956,1960,70500,Slovenia,0,3714150,0,31
24,Ovary etc.,1,1,1956,1960,70500,Slovenia,0,3714150,0,32
16,Lung (incl. trachea and bronchus),1,1,1960,1962,82609,"UK, England, West Midlands Region",6143,7053300,71.51,1
52,Colorectum,1,1,1960,1962,82609,"UK, England, West Midlands Region",2560,7053300,30.4,2
7,Stomach,1,1,1960,1962,82609,"UK, England, West Midlands Region",2379,7053300,28.04,3
27,Prostate,1,1,1960,1962,82609,"UK, England, West Midlands Region",1425,7053300,17.3,4
29,Kidney,1,1,1960,1962,82609,"UK, England, West Midlands Region",863,7053300,10.22,5
51,"Lip, oral cavity and pharynx",1,1,1960,1962,82609,"UK, England, West Midlands Region",763,7053300,9.2,6
13,Pancreas,1,1,1960,1962,82609,"UK, England, West Midlands Region",563,7053300,6.69,7
32,"Brain, central nervous system",1,1,1960,1962,82609,"UK, England, West Midlands Region",454,7053300,5.76,8
38,Leukaemia,1,1,1960,1962,82609,"UK, England, West Midlands Region",388,7053300,5.09,9
6,Oesophagus,1,1,1960,1962,82609,"UK, England, West Midlands Region",377,7053300,4.6,10
36,Non-Hodgkin lymphoma,1,1,1960,1962,82609,"UK, England, West Midlands Region",300,7053300,3.69,11
15,Larynx,1,1,1960,1962,82609,"UK, England, West Midlands Region",302,7053300,3.52,12
30,Bladder,1,1,1960,1962,82609,"UK, England, West Midlands Region",291,7053300,3.44,13
35,Hodgkin lymphoma,1,1,1960,1962,82609,"UK, England, West Midlands Region",198,7053300,2.59,14
28,Testis,1,1,1960,1962,82609,"UK, England, West Midlands Region",152,7053300,2.03,15
12,Gallbladder etc.,1,1,1960,1962,82609,"UK, England, West Midlands Region",129,7053300,1.49,16
20,Connective tissue,1,1,1960,1962,82609,"UK, England, West Midlands Region",118,7053300,1.48,17
37,Multiple myeloma,1,1,1960,1962,82609,"UK, England, West Midlands Region",88,7053300,1.02,18
26,Penis,1,1,1960,1962,82609,"UK, England, West Midlands Region",77,7053300,0.94,19
18,Melanoma of skin,1,1,1960,1962,82609,"UK, England, West Midlands Region",75,7053300,0.93,20
17,Bone,1,1,1960,1962,82609,"UK, England, West Midlands Region",62,7053300,0.84,21
14,Nose sinuses etc.,1,1,1960,1962,82609,"UK, England, West Midlands Region",68,7053300,0.81,22
11,Liver,1,1,1960,1962,82609,"UK, England, West Midlands Region",65,7053300,0.8,23
34,Other endocrine,1,1,1960,1962,82609,"UK, England, West Midlands Region",50,7053300,0.61,24
8,Small intestine,1,1,1960,1962,82609,"UK, England, West Midlands Region",52,7053300,0.61,25
33,Thyroid,1,1,1960,1962,82609,"UK, England, West Midlands Region",44,7053300,0.5,26
31,Eye,1,1,1960,1962,82609,"UK, England, West Midlands Region",39,7053300,0.46,27
21,Breast,1,1,1960,1962,82609,"UK, England, West Midlands Region",39,7053300,0.44,28
25,Other female genital organs,1,1,1960,1962,82609,"UK, England, West Midlands Region",0,7053300,0,29
22,Cervix uteri,1,1,1960,1962,82609,"UK, England, West Midlands Region",0,7053300,0,30
23,Corpus uteri,1,1,1960,1962,82609,"UK, England, West Midlands Region",0,7053300,0,31
24,Ovary etc.,1,1,1960,1962,82609,"UK, England, West Midlands Region",0,7053300,0,32
16,Lung (incl. trachea and bronchus),1,1,1960,1962,84006,"USA, Connecticut",1895,3833490,42.74,1
52,Colorectum,1,1,1960,1962,84006,"USA, Connecticut",1830,3833490,40.36,2
27,Prostate,1,1,1960,1962,84006,"USA, Connecticut",1552,3833490,33.84,3
7,Stomach,1,1,1960,1962,84006,"USA, Connecticut",816,3833490,17.84,4
29,Kidney,1,1,1960,1962,84006,"USA, Connecticut",759,3833490,16.8,5
51,"Lip, oral cavity and pharynx",1,1,1960,1962,84006,"USA, Connecticut",706,3833490,15.99,6
38,Leukaemia,1,1,1960,1962,84006,"USA, Connecticut",420,3833490,9.86,7
13,Pancreas,1,1,1960,1962,84006,"USA, Connecticut",408,3833490,9.09,8
15,Larynx,1,1,1960,1962,84006,"USA, Connecticut",315,3833490,7.07,9
30,Bladder,1,1,1960,1962,84006,"USA, Connecticut",274,3833490,6.16,10
6,Oesophagus,1,1,1960,1962,84006,"USA, Connecticut",265,3833490,5.99,11
32,"Brain, central nervous system",1,1,1960,1962,84006,"USA, Connecticut",227,3833490,5.54,12
36,Non-Hodgkin lymphoma,1,1,1960,1962,84006,"USA, Connecticut",232,3833490,5.5,13
35,Hodgkin lymphoma,1,1,1960,1962,84006,"USA, Connecticut",129,3833490,3.38,14
18,Melanoma of skin,1,1,1960,1962,84006,"USA, Connecticut",127,3833490,3.04,15
20,Connective tissue,1,1,1960,1962,84006,"USA, Connecticut",112,3833490,2.67,16
28,Testis,1,1,1960,1962,84006,"USA, Connecticut",93,3833490,2.37,17
11,Liver,1,1,1960,1962,84006,"USA, Connecticut",104,3833490,2.37,18
12,Gallbladder etc.,1,1,1960,1962,84006,"USA, Connecticut",105,3833490,2.3,19
37,Multiple myeloma,1,1,1960,1962,84006,"USA, Connecticut",97,3833490,2.17,20
17,Bone,1,1,1960,1962,84006,"USA, Connecticut",44,3833490,1.18,21
33,Thyroid,1,1,1960,1962,84006,"USA, Connecticut",49,3833490,1.15,22
8,Small intestine,1,1,1960,1962,84006,"USA, Connecticut",50,3833490,1.12,23
21,Breast,1,1,1960,1962,84006,"USA, Connecticut",37,3833490,0.82,24
26,Penis,1,1,1960,1962,84006,"USA, Connecticut",33,3833490,0.76,25
34,Other endocrine,1,1,1960,1962,84006,"USA, Connecticut",26,3833490,0.67,26
31,Eye,1,1,1960,1962,84006,"USA, Connecticut",26,3833490,0.63,27
14,Nose sinuses etc.,1,1,1960,1962,84006,"USA, Connecticut",24,3833490,0.56,28
24,Ovary etc.,1,1,1960,1962,84006,"USA, Connecticut",0,3833490,0,29
22,Cervix uteri,1,1,1960,1962,84006,"USA, Connecticut",0,3833490,0,30
23,Corpus uteri,1,1,1960,1962,84006,"USA, Connecticut",0,3833490,0,31
25,Other female genital organs,1,1,1960,1962,84006,"USA, Connecticut",0,3833490,0,32
52,Colorectum,1,1,1960,1963,84020,"USA, Hawaii",293,1352680,28.19,1
16,Lung (incl. trachea and bronchus),1,1,1960,1963,84020,"USA, Hawaii",281,1352680,27.46,2
7,Stomach,1,1,1960,1963,84020,"USA, Hawaii",281,1352680,27.32,3
27,Prostate,1,1,1960,1963,84020,"USA, Hawaii",190,1352680,19.23,4
51,"Lip, oral cavity and pharynx",1,1,1960,1963,84020,"USA, Hawaii",114,1352680,10.47,5
29,Kidney,1,1,1960,1963,84020,"USA, Hawaii",90,1352680,8.06,6
38,Leukaemia,1,1,1960,1963,84020,"USA, Hawaii",84,1352680,7.55,7
13,Pancreas,1,1,1960,1963,84020,"USA, Hawaii",72,1352680,6.97,8
11,Liver,1,1,1960,1963,84020,"USA, Hawaii",72,1352680,6.82,9
6,Oesophagus,1,1,1960,1963,84020,"USA, Hawaii",55,1352680,5.59,10
