code;name;id;registry_title;registry_title;email;phone;id2;url;pi_title;city;registry_sub_title;registry_name;id2;adress;zip_code;id3;country_code;continent;country_u;country
AFMAU10;Mauritius;V;47;Mauritius National Cancer Registry;ncrmauritius@gmail.com;2 304 257 118;2 304 245 848;http://afcrn.org/membership/members/103-mauritius;NULL;Candos;NULL;Central Health Laboratory;Ministry of Health and Quality of Life;;Central Health Laboratory;;le-registre-du-cancer-de-la-somme;Africa;MAURITIUS;Mauritius
AFMORCAS;Casablanca;V;48;Casablanca Cancer Registry;beniderabdel54@gmail.com;;;;NULL;Casablanca;Centre Mohammed VI pour le traitement des cancers;Hopital Ibn Rochd;;;Rue Sebta, Quartier des hopitaux;;20000;Africa;MOROCCO;Morocco
AFMORRAB;Rabat;V;49;Rabat Cancer Registry;registre.rabat@gmail.com;+212 6 62 85 49 79;+212 5 37 71 49 82;;bendahhou.karima@gmail.com;Rabat;;;;BP 6213 RI;Avenue Allal Al Fassi;;10100;Africa;MOROCCO;Morocco
AFNIENIA;Niamey;V;54;National Cancer Registry of Niger;NULL;(227) 734726 / 27, ext 365;(227) 734731 / 733862;NULL;NULL;Niamey;Université de Niamey;Faculté des Sciences de la Santé;NULL;B.P. 10896;NULL;NULL;NULL;Africa;NIGER;Niger
AFNIGABE;Abeokuta;V;58;Abeokuta Cancer Registry;abeokutacanreg@yahoo.com;(234) 39 241020;NULL;NULL;NULL;Abeokuta;Medical Records Department;Federal Medical Centre;NULL;NULL;Idi-Aba;NULL;NULL;Africa;NIGERIA;Nigeria
AFNIGIBA;Ibadan;V;61;Ibadan Cancer Registry;ibadancancerregistryuch@yahoo.com;+234 90 30 47 39 04;+234 02 24 11 76 8;;NULL;Ibanda;PATHOLOGY;UNIVERSITY COLLEGE HOSPITAL;;;QUEEN ELIZABETH ROAD;ORITAMEFA;234-02;Africa;NIGERIA;Nigeria
AFNIGIFE;Ife-Ijesha;V;62;Ife-Ijesha Cancer Registry;NULL;(234) 36 230271;(234) 36 230141;NULL;NULL;Ile-Ife;NULL;Teaching Hospital;c/o Obafemo Awolowo University;NULL;PMB 5538;NULL;NULL;Africa;NIGERIA;Nigeria
AFNIGILO;Ilorin;V;63;Ilorin Cancer Registry;espafolayan@yahoo.com;(234) 8033848980 or 2348075010634;(234) 31 220020;NULL;NULL;Ilorin;U.I.T.H., 1459;NULL;NULL;NULL;NULL;NULL;NULL;Africa;NIGERIA;Nigeria
AFRWABUT;Butare;V;66;Cancer Registry of the Butaré prefecture;NULL;(250) 32012/3;(250) 32012/3;NULL;NULL;Butare;Faculté de Médecine;NULL;NULL;B.P. 30;NULL;NULL;NULL;Africa;RWANDA;Rwanda
AFSEN10;Senegal;V;69;Senegal Cancer Registry;NULL;(221) 839 9219;(221) 822 7052;NULL;REMOVE dangou@pasteur.sn - NOT VALID;Dakar;NULL;Laboratoire d'Anatomie et de Cytologie Pathologiques;Institut Pasteur;NULL;36 avenue Pasteur;NULL;B.P. 220;Africa;SENEGAL;Senegal
AFSEN7D;Dakar;V;70;Dakar Tumor Registry;drmdiop@hotmail.com;+221 33 82 32 65 8;NULL;NULL;NULL;Dakar;NULL;Dakar Cancer Center;NULL;NULL;30 Avenue Pasteur;BP 15647;NULL;Africa;SENEGAL;Senegal
AFSEY10;Seychelles;V;71;Seychelles National Cancer Registry;anne.finesse@gov.sc;2484388416;;http://afcrn.org/membership/membership-list/96-seychelles;Applied and granted IACR full voting membership status in 2017;Victoria;;Seychelles Hospital;;PO box 52;;Mahe Island, Seychelles;;Africa;SEYCHELLES;Seychelles
AFSOU10;South Africa;V;72;South African National Cancer Registry;ElviraS@nicd.ac.za;+27 11 55 50 45 8;+27 11 48 99 15 2;http://www.nicd.ac.za;;;;;;;;;;;;
AFSOUCAP;Cape Town;V;76;City of Cape Town Cancer Registry;debbie.bradshaw@mrc.ac.za;(27) 21 689 5347;(27) 21 685 7065;NULL;cancer register has been moved into the MRC Burden of Disease Research Unit which is directed by Prof Debbie Bradshaw;Cape Town;NULL;NULL;NULL;NULL;37A Main Road;Mowbray;7700;Africa;SOUTH_AFRICA;South Africa
AFSOUTRA;Transkei;V;77;Eastern Cape Cancer Registry;Nontuthuzelo.Somdyala@mrc.ac.za;+27 21 93 80 954;862113586;www.mrc.ac.za/bod/contact.htm;Cancer patterns in 4 districts of the Transkei Region of the Eastern Cape Province -  REMOVED from reg. Name: of Eastern Cape Province - REMOVED from Dpt: Burden of Disease Research Unit - REMOVED from Location 1: Francie Van Zijl Drive, Parowvalley;Cape Town;Burden of Disease Research Unit;South African Medical Research Council;Francie Van Zijl Drive, Parowvalley;PO Box 19070;;;7505;Africa;SOUTH_AFRICA;South Africa
AFSUDKHA;Khartoum;V;80;Khartoum Cancer Registry;NULL;(249) 11 799297;(249) 11 774780;NULL;radiationisotopecentre@hotmail.com, INVALID EMAIL - profhussein@hotmail.com, invalid email address/md - hyd2_irhsirhs@sancharnet.in, invalid email address/md;Khartoum;Central Public Health Laboratory;General Hospital;NULL;NULL;NULL;NULL;NULL;Africa;SUDAN;Sudan
AFTAN10;Tanzania;V;82;Tanzania Cancer Registry;NULL;(255) 51 151577;(255) 51 151577;NULL;path@ud.co.tz not valid any more (SA, 10/05/2016);Dar es Salaam;NULL;Muhimbili University College of Health Sciences;NULL;P.O. Box 65002;NULL;NULL;NULL;Africa;TANZANIA;Tanzania
AFTAN7D;Aga Khan Dar Es Salaam;V;1014;Aga Khan Health Services Tanzania (AKHST);NULL;;;;NULL;Dar es Salaam;Oncology Department;Aga Khan Hospital;;PO Box 2289;Barack Obama Avenue;;;Africa;TANZANIA;Tanzania
AFTUNNOR;North;V;89;Cancer Registry North Tunisia;mohamed.hsairi@rns.tn;+216 71 57 78 85 / +216 20211257;+216 71 57 47 25;;mansour.benabdallah@rns.tn (email address of Director removed);;;;;;;;;Africa;;
AFUGAKAM;Kyadondo;V;92;Kampala Cancer Registry;kampalacancerregistry@gmail.com;+256 41 45 31 73 0;+256 41 45 31 11 6;http://afcrn.org/membership/members/81-kampala-uganda;NULL;Kampala;Department of Pathology;Makerere University;College of Health  Sciences, School of Biomedical Sciences;P.O. Box 7072;Pathology Department;Mulago;256;Africa;UGANDA;Uganda
AFZAM10;Zambia;V;95;National Cancer Registry of Zambia;ncrzambia@yahoo.com;(260) 1 253947 / 4142;(260) 1 250 305;;NULL;Lusaka;Pathology and Microbiology Department;School of Medicine;;Private Bag RW 1X;;;;Africa;ZAMBIA;Zambia
AFZIMHAR;Harare;V;97;Zimbabwe National Cancer Registry;cancer@ecoweb.co.zw;-794186;-794186;www.zimcancerregistry.co.zw;NULL;Harare;;Zimbabwe National Cancer Registry;Parirenyatwa Group of Hospitals;P.O. Box A449;Mazowe Street;Avondale;;Africa;ZIMBABWE;Zimbabwe
ALARG20;Argentina_P;V;100;Argentinean Paediatric Oncology Hospital Registry;roha@inc.gob.ar;+54 11 52 39 05 64;+54 11 52 35 75 53;https://www.argentina.gob.ar/salud/instituto-nacional-del-cancer/institucional/roha;NULL;Buenos Aires;Vigilancia y Registro;Instituto Nacional del Cancer;Ministerio de Salud y Desarrollo Social de la Nación;;Av. Julio Roca 781 - floor 10;NULL;C1067ABC;America Latin;ARGENTINA;Argentina
ALARG3C;Cordoba_P;V;101;Cordoba Province Paediatric Cancer Registry;nicolasgraciela@gmail.com;(54) (0351) 4348787;(54) (0351) 4348787;NULL;NULL;Córdoba;Instituto Provincial de Oncologia;Hospital de Niños de la Santisima Trinidad;NULL;NULL;Bajada Pucara ;NULL;900;America Latin;ARGENTINA;Argentina
ALARG7A;Argentina_Hospital_P;V;102;Children Tumour Registry;NULL;(54) 21 535901/09;(54) 21 535930;NULL;INVALID mercer@cespivmz.unlp.edv.ar;La Plata;Servicio de Patologia;Hospital de Niños;NULL;NULL;Calle 14 y 65;NULL;1900;America Latin;ARGENTINA;Argentina
ALARGBAH;Bahia Blanca;V;107;Bahía Blanca Cancer Registry;recan@criba.edu.ar;;;;;;;;;;;;;;;
ALARGBUE;Buenos Aires;V;108;Buenos Aires Province Cancer Registry;NULL;(54) 221 4843723;(54) 221 4843723;www.ms.gba.gov.ar/RegistroCancer/rcpba.html;rcpba@ms.gba.gov.ar. Doesn't work anymore. Info Monica/md;La Plata;NULL;Hospital ZGA San Roque de Gonnet;NULL;NULL;Calle 508;e/18 y 19;CP1897;America Latin;ARGENTINA;Argentina
ALARGENT;Entre Rios;V;112;Entre Ríos Provincial Population Cancer Registry;miguelangelprince1937@gmail.com;(54) 345 421 4988;(54) 345 154246394;;lherrera@concordia.com.ar - email not valid Nov 2015;Concordia;Epidemiology Departament;Health Ministry Entre Ríos Province;NULL;P.O. Box 3200;Mendoza 60;25 de mayo 156;CP 3200;America Latin;ARGENTINA;Argentina
ALARGLPA;La Pampa;V;115;La Pampa Province Tumor Registry;registrodetumores@lapampa.gov.ar;(54) 2954 456707;;;NULL;Santa Rosa;;Dr Lucio Molas Hospital;Raul B. Diaz s/n;6300;25 de mayo 636;;6300;America Latin;ARGENTINA;Argentina
ALARGMEN;Mendoza;V;117;Provincial Registry of Tumors of Mendoza;rtumores@mendoza.gov.ar;+54 26 14 20 02 49;+54 26 14 20 02 49;NULL;Email received on 10/05/11 with updates;Mendoza;Coordinacion de Epidemiología;NULL;Ministerio de Salud, Desarrollo Social y Deportes de Mendoza;NULL;Av. España 1419/1425 - 3º piso;NULL;5500;America Latin;ARGENTINA;Argentina
ALARGNEU;Neuquen;V;118;Neuquén Cancer Registry;;+54 29 94 49 08 00 int 277;+54 29 94 49 08 00 int 277;;adrifeltri@yahoo.fr - invalid address;Neuquén;;Eduardo Castro Rendón Hospital;;;Talero 151 - 6to piso;;Q8300IEC;America Latin;ARGENTINA;Argentina
ALARGRNE;Río Negro;V;121;Provicial Cancer Registry of the Rio Negro;programacancer@salud.rionegro.gov.ar;(54) 2920 425607;(54) 2920 425607/424417;NULL;NULL;Viedma;NULL;NULL;NULL;NULL;Laprida N° 240, 2do Piso;NULL;Río Negro C.P. 8500;America Latin;ARGENTINA;Argentina
ALARGSNF;Santa Fe;V;125;Cancer Registry Santa Fe;silvinacc@gmail.com;+54 03 42 45 73 52 1;+54 03 42 45 73 52 1;;NULL;Santa Fe;SANTA FE;AGENCIA DE CONTROL DE CANCER;MINISTERIO DE SALUD ;;Bv Zavalla 3361 PB;;3000;America Latin;ARGENTINA;Argentina
ALARGTFU;Terra Fuego;V;127;Population Based Cancer Registry of the Province of Tierra del Fuego;registrocancertdf@yahoo.com.ar;+54 02 90 14 23 01 5;+54 02 90 14 23 01 5;;NULL;Ushuaia;;Sector operates within the Epidemiology Departement under the Ministry of Health;of the Province of Tierra del Fuego in the area of Unit Cancer Registry of TdF;;Leopold Lugones 1880-;;;America Latin;;
ALBAR10;Barbados;V;132;The Barbados National Registry for Chronic Non-communicable Diseases (BNR);bnr@cavehill.uwi.edu;+1246 25 64 26 7;+1246 22 80 36 0;www.bnr.org.bb;NULL;Bridgetown;NULL;The George Alleyne Chronic Disease Centre;University of the West Indies;NULL;'Avalon' Jemmott's Lane;St Michael;BB11115;America Latin;BARBADOS;Barbados
ALBOLLPA;La Paz;V;135;Cancer Registry of La Paz;sdenka_mf@yahoo.com;+591 22 44 57 82;+591 22 44 57 82;NULL;A closed registry;La Paz;NULL;Programa Nacional de ENT;Ministerio de Salud y Deportes Bolivia;NULL;Calle Fernando Guachalla n°2342;Edificio Victor, 4to piso;NULL;America Latin;BOLIVIA;Bolivia
ALBRA7C;Curitiba hospital-based;V;137;Hospital-based Cancer Registry of Curitiba;NULL;(55) 41 361 5183;(55) 41 361 5185;NULL;NULL;Curitiba;NULL;NULL;NULL;NULL;Rua Dr Ovande do Amaral, 201;Jardim das Américas;81520-060;America Latin;BRAZIL;Brazil
ALBRA7G;Goiânia hospital-based;V;138;Hospital-Based Cancer Registry of Goiânia;NULL;NULL;NULL;NULL;NULL;Goiânia;NULL;Setor Universitário;NULL;NULL;Rua 239, No. 188;NULL;NULL;America Latin;BRAZIL;Brazil
ALBRA7S;Sao Paulo;V;139;Hospital-based Cancer Registry of Sao Paulo State;rhc@hcancer.ng.br;(55) 11 3272 5047;NULL;NULL;quick contact email added as per M. Rebelo's information/md;São Paulo;Centro de Tratamento e Pezquiza;Hospital do Câncer A.C. Camargo;NULL;NULL;R. Prof. Antônio Brudente, 211;Liberdade;01509-010;America Latin;BRAZIL;Brazil
ALBRAARA;Aracaju;V;141;Cancer Registry of Aracaju;regcan.ara@gmail.com;+55 79 32 59 31 51;+55 79 32 59 31 51;;ca.lima01@gmail.com;;;;;;;;;;;
ALBRABAR;Barretos;V;1259;Population-based Cancer Registry of Barretos;mafra.allini@gmail.com;;;;;;;;;;;;;;;
ALBRABEL;Belem;V;142;Population-based Cancer Registry of Belem;oncologia_sespa@hotmail.com;+55 91 3265 6672;;;NULL;Belém;(Coordenação Estadual de Atenção Oncológica);Secretaria Estadual Saúde Pública do Pará;;;Av. Governador Magalhães Barata, 992 - 7º andar;São Braz;66063-240;America Latin;BRAZIL;Brazil
ALBRABHO;Belo Horizonte;V;143;Population-Based Cancer Registry of Belo Horizonte/MG/Brazil;pav.se@saude.mg.gov.br;+55 31 39 16 03 70;;;NULL;Belo Horizonte;State Secretariat of Health of Minas Gerais;Secretaria de Estado da Saúde de Minas Gerais;Viligância do Câncer Cidade Administrativa Presidente Tancredo Neves;;Rodovia Prefeito Américo Gianetti S/N - 13° andar;Ala par Estação n°13.340 -  Bairro Serra Verde;31630-901;America Latin;BRAZIL;Brazil
ALBRACAM;Campinas;V;145;Cancer Registry Based Population of Campinas;registrodecancercampinas@campinas.sp.gov.br;+55 19 35 21 78 85;+55 19 35 21 78 85;http://www.abrc.org.br/index.php/registros-de-base-populacional/;nazira@unicamp.br Invalid email address/md;Campinas;SP Universidade Estadual de Campinas -UNICAMP/FCM/DSC;Universidade Estadual de Campinas -UNICAMP;sl. 08 2.° andar Cidade Universitária Zeferino Vaz- Barão Geraldo;;Rua Vital Brasil, 100 Prédio do CIPOI;NULL;13083-970;America Latin;BRAZIL;Brazil
ALBRACUR;Curitiba;V;148;Population-Based Cancer Registry of Curitiba;claporte@sms.curitiba.pr.gov.br;;;;;;;;;;;;;;;
ALBRAESP;Espirito Santo;V;1258;Population Based Cancer Registry of State of Espirito Santo;rcbpsaudees@gmail.com;;;;;;;;;;;;;;;
ALBRAFOR;Fortaleza City;V;152;Fortaleza City Cancer Registry;registro@hospcancer-icc.org.br;+55 85 3101 5125;+55 85 3101 5125;NULL;mirenuribe@yahoo.com.br previously in quick contact e-mail/md // 2018: ediania@hotmail.com;;;;;;;;;;;
ALBRAGOI;Goiania;V;153;Cancer Registry of Goiânia;rcbpgo@gmail.com;+55 62 3243 7076;+55 62 3243 7076;;NULL;Goiânia;;Associaçao de Combate ao Câncer em Goiás;;;Setor Leste Universitário;Rua 239, No. 181;74605-070;America Latin;BRAZIL;Brazil
ALBRAJAU;Jau;V;154;Population-Based Cancer Registry of Jahu-SP;rcbp.donaldo@amaralcarvalho.org.br;+55 14 36 02 13 92 / +55 14 36 02 12 18;+55 14 36 02 13 40;http://www.amaralcarvalho.org.br;NULL;Jaú;Diretoria de Desenvolvimento em Saúde;Fundação Hospital Amaral Carvalho;;17.210-080;Rua Dona Silvéria, 150;;17210-080;America Latin;BRAZIL;Brazil
ALBRAJPE;João Pessoa;V;156;Cancer Registry of João Pessoa;dants.estadopb@gmail.com;+55 83 3218 7324;+55 82 3218 7473;www.inca.gov.br;Same as ALBRAJOA;João Pessoa;Nucleus of Diseases and Noncommunicable Diseases;Secretaria de Saúde do Estado da Paraiba;;;Avenida Dom Pedro II, 1826;Torre João Pessoa;(58040-440);America Latin;BRAZIL;Brazil
ALBRAMAN;Manaus;V;157;Population Based Cancer Registry of Manaus;dpcc@fcecon.am.gov.br;+55 92 36 55 46 02;+55 92 36 55 46 04;;naycmachado@gmail.com;;;;;;;;;;;
ALBRAPAL;Palmas;V;159;Population-Based Cancer Registry of Palmas;vigidant@saude.to.gov.br;+55 63 3218 3205;+55 63 3218 3244;NULL;pav@saude.to.gov.br added as 2nd email address as per M. Rebelo's information/md ;;;;;;;;;;;
ALBRAPER;Pernambuco;V;161;Cancer Registry of Pernambuco;NULL;(55) (81) 3355 2060;(55) (81) 3412 6366;NULL;THIS REGISTER DOES NO LONGER EXIST (18 Apr 2013 from I.Savage);Recife;NULL;NULL;NULL;NULL;Praça Oswaldo Cruz S/N;Boa Vista;50050-210;America Latin;BRAZIL;Brazil
ALBRAPOR;Porto Alegre;V;162;Population-Based Cancer Registry of Porto Alegre;nis@saude.rs.gov.br;;;;;;;;;;;;;;;
ALBRASAL;Salvador;V;165;Population-Based Cancer Registry of Salvador;rhc@aristidesmaltez.org.br;;;;;;;;;;;;;;;
ALBRASPC;Sao Paulo;V;166;Population-based Cancer Registry of São Paulo;rcancer@fsp.usp.br;;;;;;;;;;;;;;;
ALCHI20;Chile_P;V;1047;National Registry of Childhood Cancer (RENCI);nvergara@minsal.cl;-25740068;-27540451;http://epi.minsal.cl/registro-nacional-del-cancer-infantil/;Full IACR network membership applied and granted in 2017;Santiago;Departamento de Epidemiología, Vigilancia de enfermedades no transmisibles;Ministerio de Salud;Subsecretaría de Salud Pública;;Enrique Mac Iver 541 Oficina 401,;;;America Latin;CHILE;Chile
ALCHIANT;Antofagasta;V;170;Cancer Registry of the Region of Antofagasta;NULL;+56 (0)55 65 50 19;+56 (0)55 65 50 12;http://seremi2.redsalud.gob.cl/;Dr. Patricio Gayán Pérez - Director;;;;;;;;;;;
ALCHIBIO;Biobio;V;171;Population-Based Cancer Registry of the Province of Bío Bío;mariapaz.sandoval@redsalud.gov.cl;+56 43 2332737;;http://www.seremidesaludbiobio.cl/sd/web/;NULL;Los Angeles;;Oficina Provincial Biobio SEREMI Salud Región del Biobío;Ministerio de Salud;;Avenida Ricardo Vicuña 371;;;America Latin;CHILE;Chile
ALCHIVAL;Valdivia;V;173;Region de Los Rios Cancer Registry;solange.vargas@redsalud.gob.cl;+56 (0)63 226 51 63;+56 (0)63 2333038;www.seremisaludlosrios.cl;NULL;Valdivia;Dpto. de Salud Pública, Sección de Epidemiología;Secretaría Regional Ministerial de Salud, Región de Los Ríos;;;Chacabuco Nº 700;;5110422;America Latin;CHILE;Chile
