name;membership;reg_link;name;url;city;department;continent;country_u;country
Mauritius;V;47;Mauritius National Cancer Registry;http://afcrn.org/membership/members/103-mauritius;72211;NULL;Africa;MAURITIUS;Mauritius
Morocco 2 registries;N;974;CAS & RAB for IICC3;NULL;NULL;NULL;Africa;MOROCCO;Morocco
Casablanca;V;48;Casablanca Cancer Registry;;Casablanca;Centre Mohammed VI pour le traitement des cancers;Africa;MOROCCO;Morocco
Rabat;V;49;Rabat Cancer Registry;;Rabat;;Africa;MOROCCO;Morocco
Beira;N;50;Beira Cancer Registry;NULL;Beira;NULL;Africa;MOZAMBIQUE;Mozambique
Maputo;N;51;Maputo Cancer Registry;;Maputo;;Africa;MOZAMBIQUE;Mozambique
Namibia;N;52;Namibia National Cancer Registry;http://can.org.na/wp-content/uploads/cancerinnam.pdf;Windhoek;NULL;Africa;NAMIBIA;Namibia
Namibia;N;53;The Namibia Children’s Tumour Registry;NULL;Cape town;Department of Paediatrics and Child Health;Africa;NAMIBIA;Namibia
Niamey;V;54;National Cancer Registry of Niger;NULL;Niamey;Université de Niamey;Africa;NIGER;Niger
CRPN;V;55;Nigerian National System of Cancer Registries (NSCR);;Abuja;Office of Research, Strategic Information and Training;Africa;NIGERIA;Nigeria
Benin;I;56;Professor Ransome-Kuti Cancer Registry;NULL;Benin;Department of Surgery;Africa;NIGERIA;Nigeria
Enugu Foundation;I;57;Wilson B Onuigbo;NULL;Enugu;NULL;Africa;NIGERIA;Nigeria
Abeokuta;V;58;Abeokuta Cancer Registry;NULL;Abeokuta;Medical Records Department;Africa;NIGERIA;Nigeria
Abuja;N;1050;Abuja Cancer Registry;NULL;NULL;NULL;Africa;NIGERIA;Nigeria
Calabar;I;59;Calabar Cancer Registry;www.calcanreg.org;Calabar;Department of Pathology;Africa;NIGERIA;Nigeria
Ekiti;N;1430;Ekiti Cancer Registry;NULL;Ado Ekiti;NULL;Africa;NIGERIA;Nigeria
Gombe;I;60;Gombe Cancer Registry;NULL;Gombe;Dept. of Histopathology;Africa;NIGERIA;Nigeria
Ibadan;V;61;Ibadan Cancer Registry;;IBADAN;PATHOLOGY;Africa;NIGERIA;Nigeria
Ife-Ijesha;V;62;Ife-Ijesha Cancer Registry;NULL;Ile-Ife;NULL;Africa;NIGERIA;Nigeria
Ilorin;V;63;Ilorin Cancer Registry;NULL;Ilorin;U.I.T.H., 1459;Africa;NIGERIA;Nigeria
Jos;N;64;Cancer Registry of Jos University;www.bioline.org.br/request?am03011;Jos;Department of pathology;Africa;NIGERIA;Nigeria
Maiduguri;I;65;Maiduguri Cancer Registry;;Maiduguri;Department of Histopathology;Africa;NIGERIA;Nigeria
Rwanda;U;1492;Rwanda Cancer Registry;NULL;NULL;NULL;Africa;RWANDA;Rwanda
Butaré;V;66;Cancer Registry of the Butaré prefecture;NULL;Butaré;Faculté de Médecine;Africa;RWANDA;Rwanda
Kigali;U;67;Kigali Cancer Registry;NULL;Kigali;NULL;Africa;RWANDA;Rwanda
Sao Tome;N;68;Sao Tome Central Hospital;NULL;NULL;NULL;Africa;SAO_TOME_AND_PRINCIPE;Sao Tome and Principe
Senegal;V;69;Senegal Cancer Registry;NULL;Dakar;NULL;Africa;SENEGAL;Senegal
Dakar;V;70;Dakar Tumor Registry;NULL;Dakar;NULL;Africa;SENEGAL;Senegal
Seychelles;V;71;Seychelles National Cancer Registry;http://afcrn.org/membership/membership-list/96-seychelles;Victoria;;Africa;SEYCHELLES;Seychelles
Freetown;U;1474;Freetown cancer registry;NULL;NULL;NULL;Africa;SIERRA_LEONE;Sierra Leone
South Africa;V;72;South African National Cancer Registry;"http://www.nicd.ac.za; www.ncr.ac.za; www.nhls.ac.za";Johannesburg;National institute for Occupational health  NIOH;Africa;SOUTH_AFRICA;South Africa
SA_P;U;73;South African Children's Tumour Registry;https://www.saccsg.co.za/SACTRegistry;Pretoria;Department of Paediatrics and Child Health;Africa;SOUTH_AFRICA;South Africa
W Province;N;74;Western Province Children's Tumour Registry;NULL;Cape town;Dept. of Paediatrics;Africa;SOUTH_AFRICA;South Africa
Umtata;N;75;CANSA/MRC OCRC - UMTATA;NULL;NULL;NULL;Africa;SOUTH_AFRICA;South Africa
Cape Town;V;76;City of Cape Town Cancer Registry;NULL;Cape Town;NULL;Africa;SOUTH_AFRICA;South Africa
Transkei;V;77;Eastern Cape Cancer Registry;www.mrc.ac.za/bod/contact.htm;Cape town;Burden of Disease Research Unit;Africa;SOUTH_AFRICA;South Africa
W Cape;N;78;Western Cape Cancer Registry;NULL;Cape Town;c/o Promec MRC;Africa;SOUTH_AFRICA;South Africa
Gezira;N;79;Gezira Cancer Registry;NULL;Gezira;NULL;Africa;SUDAN;Sudan
Khartoum;V;80;Khartoum Cancer Registry;NULL;Khartoum;Central Public Health Laboratory;Africa;SUDAN;Sudan
Tanzania;V;82;Tanzania Cancer Registry;NULL;Dar es Salaam;NULL;Africa;TANZANIA;Tanzania
Aga Khan Dar Es Salaam;V;1014;Aga Khan Health Services Tanzania (AKHST);;Dar es Salaam;Oncology Department;Africa;TANZANIA;Tanzania
Dar es Salaam;N;83;Dar es Salaam Cancer Registry;NULL;Dar es Salaam;NULL;Africa;TANZANIA;Tanzania
Kilimanjaro;N;84;Kilimanjaro Cancer Registry;NULL;Moshi;Histopathology Department;Africa;TANZANIA;Tanzania
Lake zone;N;1105;Lake Zone Cancer Registry;;;Oncology;Africa;TANZANIA;Tanzania
Muhimbili;N;85;Muhimbili Cancer Registry;NULL;Muhimbili;NULL;Africa;TANZANIA;Tanzania
TANZANIA, Mwanza;U;1360;District of Mwanza;NULL;NULL;NULL;Africa;TANZANIA;Tanzania
Togo;N;86;Togo Cancer Registry;NULL;Lomé;;Africa;TOGO;Togo
Tunisia;N;87;National Registry of Tunisia;NULL;Tunis;Institut National de la Santé Publique;Africa;TUNISIA;Tunisia
Tunisia 2 registries;N;975;CEN & NOR for IICC3;NULL;NULL;NULL;Africa;TUNISIA;Tunisia
Sousse;N;88;Cancer Registry of Central Region;;Sousse;Laboratoire d'Anatomie et cytologie pathologiques;Africa;TUNISIA;Tunisia
North;V;89;Cancer Registry North Tunisia;;Tunis;Service d'Epidémiologie, de Biostatistique et Informatique Médicale;Africa;TUNISIA;Tunisia
South;N;90;Cancer Registry of South Tunisia;NULL;Sfax;Laboratoire d'Anatomie et de Cytologie Pathologiques;Africa;TUNISIA;Tunisia
WHO - Uganda;N;91;WHO;NULL;Luanda;NULL;Africa;UGANDA;Uganda
Uganda, Gulu;U;1067;Uganda, Gulu;NULL;NULL;NULL;Africa;UGANDA;Uganda
Kyadondo;V;92;Kampala Cancer Registry;http://afcrn.org/membership/members/81-kampala-uganda;Kampala;Department of Pathology;Africa;UGANDA;Uganda
Kyadondo;N;93;Kyadondo Cancer Registry;NULL;NULL;NULL;Africa;UGANDA;Uganda
W Nile;N;94;West Nile Cancer Registry;NULL;NULL;NULL;Africa;UGANDA;Uganda
Zambia;V;95;National Cancer Registry of Zambia;;Lusaka;Pathology and Microbiology Department;Africa;ZAMBIA;Zambia
Lusaka;U;1059;Lusaka Cancer Registry;NULL;NULL;NULL;Africa;ZAMBIA;Zambia
Bulawayo;N;96;Bulawayo Cancer Registry;NULL;Bulawayo;Mpilo Central Hospital;Africa;ZIMBABWE;Zimbabwe
Harare;V;97;Zimbabwe National Cancer Registry;www.zimcancerregistry.co.zw;Harare;;Africa;ZIMBABWE;Zimbabwe
Midland;N;98;Midland Cancer Registry;NULL;NULL;NULL;Africa;ZIMBABWE;Zimbabwe
NCI;N;99;National Cancer Institute;NULL;Buenos Aires;NULL;America Latin;ARGENTINA;Argentina
Argentina_P;V;100;Argentinean Paediatric Oncology Hospital Registry;https://www.argentina.gob.ar/salud/instituto-nacional-del-cancer/institucional/roha;Buenos Aires;Vigilancia y Registro;America Latin;ARGENTINA;Argentina
Cordoba_P;V;101;Cordoba Province Paediatric Cancer Registry;NULL;Cordoba;Instituto Provincial de Oncologia;America Latin;ARGENTINA;Argentina
Argentina 6 registries;N;976;BAH, CHA, COR, ENT, MEN & NEU for IICC-3;NULL;NULL;NULL;America Latin;ARGENTINA;Argentina
Argentina_Hospital_P;V;102;Children Tumour Registry;NULL;La Plata;Servicio de Patologia;America Latin;ARGENTINA;Argentina
R. Santamarina Hospital;I;103;R. Santamarina Hospital Cancer Registry;NULL;Tandil;NULL;America Latin;ARGENTINA;Argentina
Acciones de Salud;N;104;Direccion General de Acciones de Salud;NULL;Neuquen;Subsecretaria de Salud;America Latin;ARGENTINA;Argentina
M Health;N;105;Buenos Aires Ministry of Health;NULL;La Plata;Direccion de Planeamiento y Desarollo;America Latin;ARGENTINA;Argentina
Radiation Centre;I;106;Private Radiation Centre;http://200.0.198.11/info2000/ANEXO2.PDF;Santa Fe;NULL;America Latin;ARGENTINA;Argentina
Bahia Blanca;U;1359;Bahia Blanca Cancer Observatory;NULL;Bahía Blanca;Area of Epidemiology, Docence and Quality;America Latin;ARGENTINA;Argentina
Bahia Blanca;V;107;Bahía Blanca Cancer Registry;;Bahía Blanca;"Hospital Interzonal ""Dr José Penna""";America Latin;ARGENTINA;Argentina
Buenos Aires;V;108;Buenos Aires Province Cancer Registry;www.ms.gba.gov.ar/RegistroCancer/rcpba.html;Gonnet;NULL;America Latin;ARGENTINA;Argentina
Campana;N;109;Cancer Registry of Campana;NULL;Campana;Hospital San José;America Latin;ARGENTINA;Argentina
Chaco;N;110;"Chaco Tumor Population Registry ""Dra Ana H. Rey""";;Resistencia;NULL;America Latin;ARGENTINA;Argentina
Cordoba;N;111;Córdoba Cancer Registry;;Córdoba;;America Latin;ARGENTINA;Argentina
Entre Rios;V;112;Entre Ríos Provincial Population Cancer Registry;;Concordia;Epidemiology Departament;America Latin;ARGENTINA;Argentina
Gualeguayche;N;113;Gualeguayche Cancer Registry;NULL;Gualeguayc;NULL;America Latin;ARGENTINA;Argentina
Jujuy;N;114;Jujuy Province Cancer Registry;NULL;San Salvador de Jujuy;NULL;America Latin;ARGENTINA;Argentina
La Pampa;V;115;La Pampa Province Tumor Registry;;Santa Rosa;;America Latin;ARGENTINA;Argentina
La Plata;N;116;La Plata Provincial Cancer Registry;NULL;La Plata;Fundacion Fundonar;America Latin;ARGENTINA;Argentina
Mendoza;V;117;Provincial Registry of Tumors of Mendoza;NULL;Mendoza;Coordinacion de Epidemiología;America Latin;ARGENTINA;Argentina
Neuquen;V;118;Neuquén Cancer Registry;;Neuquén;;America Latin;ARGENTINA;Argentina
Olavarría;U;119;Olavarría Cancer Registry;NULL;Olavarría;NULL;America Latin;ARGENTINA;Argentina
Parana;N;120;Tumour Registry of Parana;NULL;Parana;Servicio de Oncologia;America Latin;ARGENTINA;Argentina
Río Negro;V;121;Provicial Cancer Registry of the Rio Negro;NULL;Viedma;NULL;America Latin;ARGENTINA;Argentina
Roffo;N;122;Angel H. Roffo Oncology Institute;www.institutoroffo.com.ar/;Buenos Aires;NULL;America Latin;ARGENTINA;Argentina
Salta;N;123;Provincial Tumor Registry of Salta;NULL;Salta;Area de Enf. Cronicas, Degenerativas y Emergentes Cancer;America Latin;ARGENTINA;Argentina
Santa Cruz;N;124;Santa Cruz Cancer Registry;NULL;NULL;NULL;America Latin;ARGENTINA;Argentina
Santa Fe;V;125;Cancer Registry Santa Fe;;Santa Fe Capital;SANTA FE;America Latin;ARGENTINA;Argentina
Stg Estero;N;126;Santiago del Estero Cancer Registry;;Santiago Del Estero;Secretaria Tecnica de Epidemiologia;America Latin;ARGENTINA;Argentina
Terra Fuego;V;127;Population Based Cancer Registry of the Province of Tierra del Fuego;;Ushuaia;;America Latin;ARGENTINA;Argentina
Tucuman;N;128;Tucuman Province Cancer Registry ;NULL;San Miguel de Tucuman;Servicio de Hemato-Oncologia;America Latin;ARGENTINA;Argentina
Venado Tuerto;N;129;Venado TuertoCancer Registry;NULL;Venado Tuerto;NULL;America Latin;ARGENTINA;Argentina
Argentina_Mel;I;130;Melanoma National Argentinian Cancer Registry;NULL;Ciudad Autonoma de Buenos Aire;NULL;America Latin;ARGENTINA;Argentina
Bahamas;N;131;Bahamas Cancer Registry;NULL;Nassau;NULL;America Latin;BAHAMAS;Bahamas
Barbados;V;132;The Barbados National Registry for Chronic Non-communicable Diseases (BNR);www.bnr.org.bb;Bridgetown;NULL;America Latin;BARBADOS;Barbados
Belize;U;133;Belize;NULL;NULL;NULL;America Latin;BELIZE;Belize
Bermuda;N;1238;Bermuda Cancer Registry;NULL;Hamilton;Health Information Management Systems;America North;BERMUDA;Bermuda
La Paz;V;135;Cancer Registry of La Paz;NULL;La Paz;NULL;America Latin;BOLIVIA;Bolivia
INCA;N;136;Brazilian National Cancer Institute (INCA);;Rio de Janeiro;;America Latin;BRAZIL;Brazil
Brazil 5 registries;N;977;ARA, BHO, CUR, GOI & JPE for IICC3;NULL;NULL;NULL;America Latin;BRAZIL;Brazil
Curitiba hospital-based;V;137;Hospital-based Cancer Registry of Curitiba;NULL;Curitiba;NULL;America Latin;BRAZIL;Brazil
Goiânia hospital-based;V;138;Hospital-Based Cancer Registry of Goiânia;NULL;Goiânia;NULL;America Latin;BRAZIL;Brazil
Sao Paulo;V;139;Hospital-based Cancer Registry of Sao Paulo State;NULL;Sao Paulo;Centro de Tratamento e Pezquiza;America Latin;BRAZIL;Brazil
Cervical HPV Infection Programme;N;140;Programme on Detection of Precursors Lesions of Cervical Cancer and HPV Infection;NULL;Porto Alegre;Programme on Detection of Precursors Lesions of Cervical Cancer and HPV Infection;America Latin;BRAZIL;Brazil
Aracaju;V;141;Cancer Registry of Aracaju;;Aracaju;UNACON Centro de Oncologia;America Latin;BRAZIL;Brazil
Barretos;V;1259;Population-based Cancer Registry of Barretos;;Barretos;Hospital de Câncer de Barretos;America Latin;BRAZIL;Brazil
Belem;V;142;Population-based Cancer Registry of Belem;;Belem;(Coordenação Estadual de Atenção Oncológica);America Latin;BRAZIL;Brazil
Belo Horizonte;V;143;Population-Based Cancer Registry of Belo Horizonte/MG/Brazil;;Belo Horizonte;State Secretariat of Health of Minas Gerais;America Latin;BRAZIL;Brazil
Brasilia;N;144;Cancer Registry of the Federal District;NULL;Brasilia;NULL;America Latin;BRAZIL;Brazil
Campinas;V;145;Cancer Registry Based Population of Campinas;http://www.abrc.org.br/index.php/registros-de-base-populacional/;Campinas;SP Universidade Estadual de Campinas -UNICAMP/FCM/DSC;America Latin;BRAZIL;Brazil
Campo;N;146;Cancer registry and population-base of Campo Grande de Mato Grosso do Sul;http://www.saude.ms.gov.br/index.php?templat=vis&site116&id_comp=3798&id_reg=7000&voltar=list&site_reg=116&id_comp_orig=3798;Campo Grande;Registro de cancêr de Base Populacional – Basepop;America Latin;BRAZIL;Brazil
Cuiaba;N;147;Cancer Registry of Cuiabá;NULL;Cuiabá;(Superintendência de Vigilância em Saúde);America Latin;BRAZIL;Brazil
Curitiba;V;148;Population-Based Cancer Registry of Curitiba;;Curitiba;;America Latin;BRAZIL;Brazil
F District;N;149;Cancer Registry of the Federal District;;Brasília DF, Brasil;GERÊNCIA DE CÂNCER/SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;America Latin;BRAZIL;Brazil
Espirito Santo;V;1258;Population Based Cancer Registry of State of Espirito Santo;http://www.saude.es.gov.br/;Vitória;--;America Latin;BRAZIL;Brazil
Florianopolis;N;150;Florianopolis Cancer Registry;;Florianópolis;;America Latin;BRAZIL;Brazil
Fortaleza;N;151;Cancer Registry of Fortaleza;NULL;Fortaleza;NULL;America Latin;BRAZIL;Brazil
Fortaleza;V;152;FortalezaCancer Registry;NULL;Fortaleza;(Epidemiologica);America Latin;BRAZIL;Brazil
Goiania;V;153;Cancer Registry of Goiânia;;Goiânia;;America Latin;BRAZIL;Brazil
Jau;V;154;Population-Based Cancer Registry of Jahu-SP;http://www.amaralcarvalho.org.br;Jaú;Diretoria de Desenvolvimento em Saúde;America Latin;BRAZIL;Brazil
Joao;N;155;Population Based Cancer Registry of João Pessoa;www.inca.gov.br;Joâo Pessoa;NULL;America Latin;BRAZIL;Brazil
Joao Pessoa;V;156;Cancer Registry of João Pessoa;www.inca.gov.br;Joâo Pessoa;Nucleus of Diseases and Noncommunicable Diseases;America Latin;BRAZIL;Brazil
Manaus;V;157;Population Based Cancer Registry of Manaus;;Manaus;Department of Prevention and Cancer Control;America Latin;BRAZIL;Brazil
Natal;N;158;PBCR Natal-RN;NULL;Natal;NULL;America Latin;BRAZIL;Brazil
Palmas;V;159;Population-Based Cancer Registry of Palmas;NULL;Palmas;NULL;America Latin;BRAZIL;Brazil
Pernambuco;V;161;Cancer Registry of Pernambuco;NULL;Recife;NULL;America Latin;BRAZIL;Brazil
Pocos de Caldas;N;160;Pocos de Caldas Cancer Registry;www.pocosdecaldas.mg.gov.br;Poços de Caldas;Vigilância em Saúde;America Latin;BRAZIL;Brazil
Porto Alegre;V;162;Population-Based Cancer Registry of Porto Alegre;;Porto Alegre;Equipe de Vigilância de Eventos Vitais, Doenças e Agravos Não Transmissíveis;America Latin;BRAZIL;Brazil
Recife;N;163;Population Based Cancer Registry of Recife;;Recife;Divisão de vigilância de doenças e agravos não transmissíveis;America Latin;BRAZIL;Brazil
Roraima;N;164;Roraima Population-Based Base Cancer Registry;;Boa Vista;Coordenadoria Geral de Vigilância em saúde / NCDANTS;America Latin;BRAZIL;Brazil
Salvador;V;165;Population-Based Cancer Registry of Salvador;;Salvador;Hospital Aristides Maltez;America Latin;BRAZIL;Brazil
Sao Paulo;V;166;Population-based Cancer Registry of São Paulo;www.fsp.usp.br/rcsp;São Paulo;(Departamento de Epidemiologia);America Latin;BRAZIL;Brazil
Teresina;N;167;Population-Based Cancer Registry of Teresina;NULL;NULL;NULL;America Latin;BRAZIL;Brazil
Vitoria;N;168;Population-Based Cancer Registry of Vitória;NULL;NULL;NULL;America Latin;BRAZIL;Brazil
Cayman;N;169;Cayman Island Cancer Registry;NULL;NULL;NULL;America Latin;CAYMAN_ISLANDS;Cayman Islands
Chile_P;V;1047;National Registry of Childhood Cancer (RENCI);http://epi.minsal.cl/registro-nacional-del-cancer-infantil/;Santiago;Departamento de Epidemiología, Vigilancia de enfermedades no transmisibles;America Latin;CHILE;Chile
Chile 4 registries;N;978;ANT, BIO, CON & VAL for IICC3;NULL;NULL;NULL;America Latin;CHILE;Chile
No Registry;U;884;Collaborator with no Registry;NULL;NULL;NULL;Europe;0;0
Antofagasta;V;170;Cancer Registry of the Region of Antofagasta;http://seremi2.redsalud.gob.cl/;Antofagasta;Direccion;America Latin;CHILE;Chile
Arica;U;1256;Arica Cancer Registry;http://seremi15.redsalud.gob.cl/;Arica;Departamento Salud Pública;America Latin;CHILE;Chile
Biobio;V;171;Population-Based Cancer Registry of the Province of Bío Bío;http://www.seremidesaludbiobio.cl/sd/web/;Los Angeles;;America Latin;CHILE;Chile
CHO2;N;172;CHO2 Cancer Registry - VIII Region;NULL;NULL;NULL;America Latin;CHILE;Chile
Concepcion;U;1257;Population Cancer Registry of the Province of Concepción;;Concepción;Department of Public Health, Epidemiology Unit;America Latin;CHILE;Chile
Valdivia;V;173;Region de Los Rios Cancer Registry;www.seremisaludlosrios.cl;Valdivia;Dpto. de Salud Pública, Sección de Epidemiología;America Latin;CHILE;Chile
Colombia;V;174;National Cancer Institute of Colombia;https://cancer.gov.co/;Bogota;Vigilancia Epidemiológica del Cáncer;America Latin;COLOMBIA;Colombia
Colombia 4 registries;N;979;BUC, CAL, MAN & PAS for IICC3;NULL;NULL;NULL;America Latin;COLOMBIA;Colombia
Antioquia;V;175;Cancer Registry of Antioquia;NULL;Medellín;Dirección Seccional de Salud de Antioquia;America Latin;COLOMBIA;Colombia
Barranca;N;176;Barranca Cancer Registry;NULL;NULL;NULL;America Latin;COLOMBIA;Colombia
Bucaramanga;V;177;Cancer Registry of the Metropolitan Area of Bucaramanga;http://www.unab.edu.co/content/registro-poblacional-de-cancer-area-metropolitana-de-bucaramanga;Bucaramanga;Centro de Investigación en Ciencias de la Salud y Psicosociales CICSP;America Latin;COLOMBIA;Colombia
Cali;V;178;Cali Cancer Registry;http://rpcc.univalle.edu.co;Cali;Department of Pathology;America Latin;COLOMBIA;Colombia
Manizales;V;179;Population-based Cancer Registry of Manizales;;Manizales;Instituto de Investigaciones en Salud;America Latin;COLOMBIA;Colombia
Monica Registy;N;885;Monica Registry;NULL;Lyon;IARC;America Latin;COLOMBIA;Colombia
